date,open,high,low,close
2010-01-01,0.8979,0.898,0.8975,0.8977
2010-01-04,0.8985,0.9136,0.8938,0.9127
2010-01-05,0.9126,0.9174,0.9094,0.9118
2010-01-06,0.9118,0.9217,0.9099,0.9198
2010-01-07,0.9194,0.9266,0.9162,0.9177
2010-01-08,0.9177,0.9252,0.9123,0.925
2010-01-11,0.929,0.9324,0.9276,0.9296
2010-01-12,0.9295,0.9306,0.9173,0.9202
2010-01-13,0.9201,0.9267,0.9189,0.9243
2010-01-14,0.9241,0.9328,0.9219,0.9318
2010-01-15,0.9318,0.9319,0.9216,0.9227
2010-01-18,0.9209,0.9278,0.9177,0.9263
2010-01-19,0.9264,0.9275,0.9176,0.9232
2010-01-20,0.923,0.9242,0.9074,0.9103
2010-01-21,0.9102,0.9145,0.8998,0.8998
2010-01-22,0.8994,0.9093,0.8985,0.9007
2010-01-25,0.9035,0.9092,0.9016,0.9042
2010-01-26,0.9042,0.9083,0.8938,0.8985
2010-01-27,0.8985,0.9044,0.8911,0.8953
2010-01-28,0.8949,0.9047,0.8929,0.8946
2010-01-29,0.8944,0.8961,0.8837,0.8839
2010-02-01,0.8803,0.8919,0.8789,0.8914
2010-02-02,0.8913,0.8925,0.8781,0.8864
2010-02-03,0.8865,0.8915,0.8816,0.8828
2010-02-04,0.8826,0.8826,0.8608,0.8644
2010-02-05,0.8645,0.872,0.8579,0.8682
2010-02-08,0.8677,0.8708,0.8642,0.8648
2010-02-09,0.8647,0.8796,0.8614,0.8788
2010-02-10,0.8788,0.8797,0.8709,0.8755
2010-02-11,0.8754,0.892,0.8751,0.8903
2010-02-12,0.8904,0.8914,0.8786,0.8879
2010-02-15,0.8885,0.8909,0.8851,0.8886
2010-02-16,0.8883,0.9027,0.8879,0.9021
2010-02-17,0.902,0.9036,0.8976,0.8995
2010-02-18,0.8992,0.9025,0.8934,0.8941
2010-02-19,0.8945,0.8989,0.8879,0.8989
2010-02-22,0.9012,0.9024,0.8975,0.9004
2010-02-23,0.9004,0.9071,0.8879,0.8913
2010-02-24,0.8916,0.8956,0.8859,0.8934
2010-02-25,0.8935,0.8951,0.8801,0.8885
2010-02-26,0.8883,0.8977,0.8864,0.8957
2010-03-01,0.8962,0.9016,0.8936,0.9009
2010-03-02,0.9009,0.9059,0.8959,0.9035
2010-03-03,0.9035,0.9084,0.9008,0.9057
2010-03-04,0.9058,0.9063,0.8981,0.8997
2010-03-05,0.8998,0.9091,0.8986,0.9076
2010-03-08,0.9085,0.9132,0.9078,0.9092
2010-03-09,0.9092,0.9146,0.9057,0.9141
2010-03-10,0.9141,0.9192,0.9128,0.9153
2010-03-11,0.9154,0.9169,0.9113,0.9153
2010-03-12,0.9154,0.9193,0.9141,0.915
2010-03-15,0.917,0.9178,0.9096,0.9139
2010-03-16,0.9145,0.9191,0.9122,0.9186
2010-03-17,0.9186,0.925,0.9175,0.9236
2010-03-18,0.9235,0.9241,0.9182,0.9207
2010-03-19,0.9206,0.9224,0.9131,0.9155
2010-03-22,0.9155,0.9183,0.9087,0.918
2010-03-23,0.9178,0.9197,0.9138,0.9188
2010-03-24,0.9188,0.9196,0.9072,0.9074
2010-03-25,0.9073,0.9139,0.9067,0.9076
2010-03-26,0.9075,0.9115,0.9003,0.904
2010-03-29,0.9054,0.9179,0.9035,0.9177
2010-03-30,0.9178,0.9214,0.916,0.919
2010-03-31,0.9186,0.9206,0.9131,0.9172
2010-04-01,0.9171,0.9216,0.9153,0.921
2010-04-02,0.9208,0.9214,0.9182,0.9193
2010-04-05,0.9202,0.922,0.9187,0.9214
2010-04-06,0.9214,0.9288,0.9167,0.9282
2010-04-07,0.9283,0.9297,0.925,0.9268
2010-04-08,0.9268,0.929,0.9225,0.9287
2010-04-09,0.9284,0.9344,0.9268,0.9333
2010-04-12,0.9387,0.9388,0.9253,0.9275
2010-04-13,0.9275,0.9293,0.9225,0.9293
2010-04-14,0.9292,0.936,0.9276,0.9351
2010-04-15,0.9352,0.9364,0.9312,0.9346
2010-04-16,0.9347,0.9353,0.9233,0.924
2010-04-19,0.9213,0.9243,0.9159,0.9239
2010-04-20,0.9239,0.9323,0.9239,0.9319
2010-04-21,0.9319,0.9337,0.9261,0.9268
2010-04-22,0.9263,0.9304,0.9228,0.9275
2010-04-23,0.9275,0.9279,0.9171,0.9278
2010-04-26,0.9259,0.9312,0.9254,0.9267
2010-04-27,0.9269,0.9285,0.9137,0.9155
2010-04-28,0.9155,0.9265,0.9139,0.9252
2010-04-29,0.9251,0.9294,0.9224,0.9278
2010-04-30,0.9277,0.9324,0.9239,0.9246
2010-05-03,0.9238,0.9274,0.922,0.9261
2010-05-04,0.9263,0.9272,0.9086,0.9089
2010-05-05,0.9087,0.9118,0.9022,0.9059
2010-05-06,0.905,0.9093,0.8715,0.8853
2010-05-07,0.885,0.8937,0.8802,0.8879
2010-05-10,0.901,0.9077,0.8926,0.9028
2010-05-11,0.9028,0.9036,0.8933,0.8951
2010-05-12,0.8952,0.8978,0.8891,0.8933
