date,open,high,low,close
2010-01-01,1.4329,1.434,1.4325,1.4332
2010-01-04,1.4304,1.4455,1.426,1.4412
2010-01-05,1.441,1.4484,1.4347,1.4366
2010-01-06,1.4366,1.4433,1.4283,1.4409
2010-01-07,1.441,1.4446,1.43,1.431
2010-01-08,1.4311,1.4436,1.4265,1.4404
2010-01-11,1.4429,1.4551,1.441,1.4514
2010-01-12,1.4516,1.4544,1.4454,1.4488
2010-01-13,1.4489,1.4579,1.4458,1.4511
2010-01-14,1.451,1.4554,1.4447,1.45
2010-01-15,1.45,1.4511,1.4337,1.4387
2010-01-18,1.4355,1.44,1.4336,1.4384
2010-01-19,1.4384,1.4412,1.4253,1.4288
2010-01-20,1.4289,1.4295,1.408,1.4106
2010-01-21,1.4106,1.4143,1.4032,1.4085
2010-01-22,1.4085,1.4181,1.407,1.4138
2010-01-25,1.4157,1.4194,1.4129,1.4151
2010-01-26,1.4152,1.4178,1.4043,1.4072
2010-01-27,1.4073,1.4096,1.3994,1.4025
2010-01-28,1.4023,1.4051,1.3943,1.3972
2010-01-29,1.397,1.3987,1.3863,1.3863
2010-02-01,1.3865,1.3938,1.3855,1.3932
2010-02-02,1.3931,1.3974,1.3888,1.3965
2010-02-03,1.3966,1.4026,1.3887,1.3894
2010-02-04,1.3893,1.3903,1.3724,1.3724
2010-02-05,1.3726,1.3745,1.3587,1.3682
2010-02-08,1.3662,1.3714,1.3624,1.3649
2010-02-09,1.3649,1.3838,1.3644,1.3796
2010-02-10,1.3795,1.3812,1.3678,1.3737
2010-02-11,1.3738,1.38,1.3596,1.3692
2010-02-12,1.3693,1.3694,1.3532,1.3635
2010-02-15,1.3623,1.3633,1.3579,1.3599
2010-02-16,1.3598,1.3778,1.3591,1.377
2010-02-17,1.377,1.3787,1.3588,1.3605
2010-02-18,1.3602,1.3654,1.352,1.3526
2010-02-19,1.3532,1.3617,1.3451,1.3613
2010-02-22,1.3637,1.3652,1.3575,1.3597
2010-02-23,1.3599,1.3692,1.3498,1.3508
2010-02-24,1.3511,1.3626,1.3502,1.354
2010-02-25,1.3541,1.3569,1.3453,1.3549
2010-02-26,1.3549,1.3683,1.3532,1.3627
2010-03-01,1.3624,1.3654,1.3461,1.3562
2010-03-02,1.3561,1.362,1.3437,1.3614
