date,open,high,low,close
2010-01-01,1.6168,1.6168,1.6161,1.6165
2010-01-04,1.6112,1.6242,1.6059,1.6086
2010-01-05,1.6089,1.6153,1.5966,1.5992
2010-01-06,1.5992,1.6064,1.5939,1.6019
2010-01-07,1.6015,1.6059,1.5898,1.5931
2010-01-08,1.5933,1.6111,1.5916,1.6022
2010-01-11,1.607,1.6193,1.6051,1.6115
2010-01-12,1.6116,1.6193,1.6063,1.6161
2010-01-13,1.6163,1.6306,1.6136,1.628
2010-01-14,1.6278,1.6345,1.6253,1.6335
2010-01-15,1.6334,1.6355,1.6211,1.6265
2010-01-18,1.6262,1.6378,1.6251,1.6345
2010-01-19,1.6344,1.6457,1.6313,1.6362
2010-01-20,1.6362,1.6371,1.6244,1.6293
2010-01-21,1.6292,1.6311,1.6128,1.6196
2010-01-22,1.6197,1.6284,1.608,1.6113
2010-01-25,1.6103,1.6257,1.6091,1.6245
2010-01-26,1.6244,1.6268,1.6096,1.6144
2010-01-27,1.6144,1.6244,1.611,1.617
2010-01-28,1.6171,1.6276,1.6115,1.6137
2010-01-29,1.6139,1.618,1.5982,1.5986
2010-02-01,1.5947,1.5979,1.5851,1.5958
2010-02-02,1.5957,1.5996,1.5904,1.5974
2010-02-03,1.5974,1.6069,1.5878,1.5894
2010-02-04,1.5896,1.5918,1.5731,1.5755
2010-02-05,1.5755,1.5776,1.556,1.565
2010-02-08,1.5591,1.5661,1.5536,1.5585
2010-02-09,1.5584,1.5747,1.5564,1.572
2010-02-10,1.5719,1.5766,1.5574,1.5595
2010-02-11,1.5596,1.5717,1.5562,1.5704
2010-02-12,1.5705,1.5741,1.5581,1.5703
2010-02-15,1.5681,1.5719,1.5614,1.5663
2010-02-16,1.5661,1.5794,1.5627,1.5789
2010-02-17,1.5789,1.5814,1.5667,1.5674
2010-02-18,1.5674,1.5686,1.5506,1.5535
2010-02-19,1.5538,1.5538,1.5353,1.5471
2010-02-22,1.5477,1.5521,1.5434,1.5482
2010-02-23,1.5482,1.5576,1.5395,1.5425
2010-02-24,1.5427,1.5476,1.5389,1.5409
2010-02-25,1.5409,1.5421,1.519,1.5263
2010-02-26,1.5262,1.5321,1.5152,1.5237
2010-03-01,1.5157,1.5203,1.4783,1.499
2010-03-02,1.499,1.5,1.4855,1.4973
2010-03-03,1.497,1.5131,1.496,1.51
2010-03-04,1.51,1.5135,1.5008,1.5033
2010-03-05,1.5034,1.5165,1.4993,1.5138
2010-03-08,1.513,1.5195,1.5032,1.5065
2010-03-09,1.5066,1.5067,1.4937,1.4997
2010-03-10,1.4997,1.5016,1.4873,1.4978
2010-03-11,1.4981,1.5067,1.4947,1.5062
2010-03-12,1.5062,1.5216,1.5028,1.5205
2010-03-15,1.5173,1.5207,1.5022,1.5052
2010-03-16,1.5056,1.5259,1.4979,1.5243
2010-03-17,1.5243,1.5382,1.521,1.5324
2010-03-18,1.5323,1.5327,1.5217,1.5245
2010-03-19,1.5245,1.5256,1.4991,1.5014
2010-03-22,1.5025,1.5105,1.4934,1.5101
2010-03-23,1.5101,1.5112,1.4974,1.5048
2010-03-24,1.5043,1.5047,1.4863,1.4863
2010-03-25,1.4863,1.5007,1.4804,1.4813
2010-03-26,1.4812,1.4921,1.4807,1.49
2010-03-29,1.4968,1.502,1.4893,1.4987
2010-03-30,1.4989,1.5127,1.4975,1.5069
2010-03-31,1.5066,1.5202,1.5045,1.5183
2010-04-01,1.5181,1.5299,1.5174,1.5289
2010-04-02,1.5291,1.5297,1.5183,1.5209
2010-04-05,1.5288,1.532,1.5225,1.5295
2010-04-06,1.5294,1.5307,1.513,1.5266
2010-04-07,1.5266,1.5286,1.5141,1.5242
2010-04-08,1.5244,1.528,1.5144,1.5279
2010-04-09,1.528,1.5391,1.5269,1.5371
2010-04-12,1.5466,1.5485,1.5354,1.5369
2010-04-13,1.5371,1.545,1.5339,1.5381
2010-04-14,1.5377,1.5491,1.5373,1.5466
2010-04-15,1.5466,1.5522,1.5387,1.5496
2010-04-16,1.5496,1.5505,1.5363,1.5363
2010-04-19,1.527,1.5339,1.5193,1.5338
2010-04-20,1.5337,1.5433,1.529,1.5358
2010-04-21,1.5358,1.5438,1.5332,1.541
2010-04-22,1.5411,1.5473,1.5343,1.5379
2010-04-23,1.5381,1.5397,1.5296,1.5377
2010-04-26,1.5388,1.5497,1.5373,1.5461
2010-04-27,1.5462,1.5483,1.5242,1.5261
2010-04-28,1.526,1.5287,1.5126,1.5208
2010-04-29,1.5206,1.5342,1.5143,1.532
2010-04-30,1.5321,1.5391,1.5254,1.5272
2010-05-03,1.5277,1.5336,1.5213,1.5245
2010-05-04,1.5246,1.5265,1.5091,1.5143
