date,open,high,low,close
2010-01-01,0.7617,0.7637,0.7612,0.7627
2010-01-04,0.7617,0.7655,0.7529,0.7649
2010-01-05,0.7648,0.7659,0.7611,0.763
2010-01-06,0.7631,0.7632,0.7583,0.7617
2010-01-07,0.762,0.7653,0.7557,0.7573
2010-01-08,0.7573,0.7607,0.7535,0.7585
2010-01-11,0.7605,0.7688,0.7587,0.7664
2010-01-12,0.7666,0.7696,0.7636,0.7672
2010-01-13,0.7673,0.7705,0.7622,0.7629
2010-01-14,0.7627,0.7664,0.759,0.7602
2010-01-15,0.7603,0.7609,0.7558,0.7596
2010-01-18,0.7561,0.7592,0.7558,0.7581
2010-01-19,0.7582,0.7637,0.7564,0.7583
2010-01-20,0.7583,0.7587,0.7478,0.7553
2010-01-21,0.7553,0.7564,0.7471,0.7473
2010-01-22,0.7473,0.7551,0.7463,0.751
2010-01-25,0.7535,0.7573,0.7513,0.755
2010-01-26,0.7552,0.7565,0.7502,0.7527
2010-01-27,0.7525,0.7548,0.7499,0.7516
2010-01-28,0.7517,0.7555,0.7497,0.752
2010-01-29,0.7521,0.7554,0.7494,0.7506
2010-02-01,0.75,0.754,0.7495,0.7514
2010-02-02,0.7519,0.7552,0.7472,0.753
2010-02-03,0.753,0.7549,0.7451,0.7464
2010-02-04,0.7464,0.7464,0.7359,0.7382
2010-02-05,0.7379,0.7429,0.7326,0.7389
2010-02-08,0.7356,0.7385,0.7337,0.7348
2010-02-09,0.7349,0.743,0.7337,0.7419
2010-02-10,0.7415,0.7436,0.7355,0.7355
2010-02-11,0.7353,0.7416,0.7337,0.7338
2010-02-12,0.7339,0.7345,0.7291,0.7327
2010-02-15,0.7316,0.7346,0.7297,0.7309
2010-02-16,0.7311,0.7386,0.7309,0.7379
2010-02-17,0.7381,0.7386,0.7345,0.7365
2010-02-18,0.7362,0.7362,0.7299,0.7311
2010-02-19,0.7309,0.7326,0.7248,0.7271
2010-02-22,0.728,0.732,0.727,0.7317
2010-02-23,0.7317,0.7332,0.7296,0.7316
2010-02-24,0.7318,0.7336,0.7276,0.7304
2010-02-25,0.7304,0.7341,0.7266,0.7337
2010-02-26,0.7337,0.7391,0.7327,0.7348
2010-03-01,0.7371,0.7377,0.7282,0.7289
2010-03-02,0.7289,0.7294,0.7176,0.7208
2010-03-03,0.7208,0.7224,0.7117,0.7168
2010-03-04,0.7167,0.7167,0.7069,0.7083
2010-03-05,0.7081,0.7188,0.7066,0.7177
2010-03-08,0.7159,0.7218,0.7159,0.72
2010-03-09,0.72,0.7215,0.7172,0.721
2010-03-10,0.7211,0.7264,0.7189,0.7195
2010-03-11,0.7193,0.7204,0.716,0.7174
2010-03-12,0.7173,0.72,0.7118,0.7151
2010-03-15,0.7152,0.7173,0.7131,0.7157
2010-03-16,0.7151,0.7205,0.7148,0.7199
2010-03-17,0.7198,0.7249,0.7197,0.7214
2010-03-18,0.7215,0.7256,0.72,0.7247
2010-03-19,0.7247,0.7281,0.7157,0.7202
2010-03-22,0.7182,0.7207,0.7154,0.7199
2010-03-23,0.7199,0.7203,0.7172,0.7188
2010-03-24,0.7184,0.7211,0.715,0.7209
2010-03-25,0.7209,0.7242,0.7188,0.7208
2010-03-26,0.721,0.7257,0.7204,0.7229
2010-03-29,0.7226,0.7273,0.722,0.7247
2010-03-30,0.7251,0.7266,0.7222,0.7244
2010-03-31,0.7243,0.7245,0.7178,0.7216
2010-04-01,0.7216,0.7225,0.712,0.7143
2010-04-02,0.7143,0.7162,0.7123,0.7138
2010-04-05,0.7131,0.7131,0.7042,0.7047
2010-04-06,0.7048,0.7081,0.698,0.7078
2010-04-07,0.7079,0.7118,0.7025,0.7111
2010-04-08,0.7112,0.7115,0.7065,0.7088
2010-04-09,0.709,0.7207,0.7079,0.7175
2010-04-12,0.7206,0.7221,0.7137,0.7137
2010-04-13,0.7139,0.7173,0.7116,0.7145
2010-04-14,0.7147,0.715,0.7086,0.7137
2010-04-15,0.7138,0.7148,0.7103,0.7134
2010-04-16,0.7131,0.7209,0.7121,0.7175
2010-04-19,0.7178,0.7231,0.7176,0.7215
2010-04-20,0.7216,0.7249,0.7083,0.7106
2010-04-21,0.7104,0.7111,0.7071,0.7096
2010-04-22,0.7096,0.7119,0.7088,0.7108
2010-04-23,0.7109,0.7176,0.7092,0.7165
2010-04-26,0.7167,0.7244,0.7158,0.7239
2010-04-27,0.7239,0.7259,0.7203,0.7239
2010-04-28,0.7242,0.729,0.7211,0.729
2010-04-29,0.7279,0.7281,0.7231,0.7275
2010-04-30,0.7277,0.742,0.7269,0.7396
2010-05-03,0.7397,0.7422,0.7383,0.7386
2010-05-04,0.7387,0.7405,0.7372,0.7378
2010-05-05,0.7373,0.7407,0.7355,0.7391
2010-05-06,0.7396,0.7559,0.7395,0.7472
2010-05-07,0.7474,0.7512,0.7392,0.7455
2010-05-10,0.7461,0.7476,0.7382,0.7394
2010-05-11,0.7394,0.7406,0.7309,0.732
2010-05-12,0.7319,0.7328,0.7252,0.7269
2010-05-13,0.7269,0.7317,0.7258,0.729
2010-05-14,0.7286,0.7381,0.7268,0.7321
2010-05-17,0.7309,0.7334,0.7192,0.7199
2010-05-18,0.7194,0.7235,0.7187,0.7212
2010-05-19,0.7208,0.7208,0.6997,0.7077
2010-05-20,0.7081,0.7177,0.706,0.7127
2010-05-21,0.7125,0.7212,0.7115,0.719
2010-05-24,0.7176,0.7207,0.7106,0.7111
2010-05-25,0.711,0.7193,0.7107,0.7152
2010-05-26,0.7151,0.7172,0.7044,0.7101
2010-05-27,0.7103,0.7189,0.7078,0.7167
2010-05-28,0.7171,0.7193,0.7099,0.7162
2010-05-31,0.7135,0.7179,0.7062,0.7105
2010-06-01,0.7107,0.716,0.7051,0.7125
2010-06-02,0.7127,0.7148,0.7044,0.708
2010-06-03,0.708,0.7148,0.7061,0.7123
2010-06-04,0.7123,0.7133,0.7057,0.7132
2010-06-07,0.7106,0.7116,0.6971,0.6994
2010-06-08,0.6992,0.7017,0.6954,0.699
2010-06-09,0.6987,0.7006,0.6949,0.6974
2010-06-10,0.6987,0.7091,0.6987,0.7071
2010-06-11,0.707,0.7149,0.7029,0.7129
2010-06-14,0.7132,0.7197,0.7125,0.7185
2010-06-15,0.7185,0.719,0.7128,0.7166
2010-06-16,0.7167,0.7173,0.7119,0.7148
2010-06-17,0.715,0.7244,0.714,0.7244
2010-06-18,0.7244,0.7256,0.7199,0.7222
2010-06-21,0.7263,0.727,0.7224,0.7257
2010-06-22,0.7255,0.7271,0.7208,0.7249
2010-06-23,0.7253,0.7427,0.7239,0.742
2010-06-24,0.7416,0.7424,0.7327,0.7393
2010-06-25,0.739,0.7413,0.7296,0.739
2010-06-28,0.739,0.7402,0.7313,0.7339
2010-06-29,0.734,0.7342,0.7274,0.7305
2010-06-30,0.7302,0.7328,0.7242,0.7285
2010-07-01,0.7285,0.733,0.7242,0.7319
2010-07-02,0.7317,0.7401,0.7302,0.7319
2010-07-05,0.7313,0.7353,0.7296,0.7331
2010-07-06,0.7326,0.7375,0.7282,0.7317
2010-07-07,0.7316,0.7392,0.7292,0.7361
2010-07-08,0.7362,0.741,0.7352,0.7393
2010-07-09,0.7395,0.7417,0.7299,0.7348
2010-07-12,0.7338,0.7381,0.7297,0.738
2010-07-13,0.7381,0.7445,0.7336,0.7414
2010-07-14,0.7416,0.7486,0.7388,0.7475
2010-07-15,0.7473,0.7577,0.7438,0.7572
2010-07-16,0.7574,0.7578,0.746,0.7517
2010-07-19,0.7478,0.7502,0.7422,0.7447
2010-07-20,0.7444,0.7513,0.7437,0.7485
2010-07-21,0.748,0.7493,0.7436,0.7475
2010-07-22,0.7475,0.7542,0.745,0.7516
2010-07-23,0.7516,0.7567,0.7513,0.7535
2010-07-26,0.7547,0.7588,0.7526,0.7577
2010-07-27,0.7578,0.7608,0.7558,0.7592
2010-07-28,0.7593,0.7597,0.7497,0.7543
2010-07-29,0.7515,0.752,0.7478,0.7501
2010-07-30,0.7506,0.7508,0.7444,0.748
2010-08-02,0.7471,0.7509,0.7469,0.7496
2010-08-03,0.7496,0.7529,0.7485,0.751
2010-08-04,0.751,0.7534,0.7467,0.7482
2010-08-05,0.7482,0.7487,0.7356,0.7428
2010-08-06,0.7427,0.7541,0.7394,0.7533
2010-08-09,0.7532,0.7544,0.7475,0.7487
2010-08-10,0.7488,0.7497,0.7432,0.7464
2010-08-11,0.7464,0.7509,0.7423,0.7478
2010-08-12,0.7481,0.7485,0.7385,0.7391
2010-08-13,0.7391,0.7461,0.7339,0.7356
2010-08-16,0.7363,0.7411,0.7298,0.7378
2010-08-17,0.7378,0.7402,0.7331,0.7348
2010-08-18,0.735,0.7403,0.7335,0.7354
2010-08-19,0.7353,0.7383,0.7294,0.7359
2010-08-20,0.7355,0.7419,0.7321,0.7404
2010-08-23,0.7399,0.7465,0.7381,0.7436
2010-08-24,0.7437,0.7503,0.7422,0.7455
2010-08-25,0.7454,0.7474,0.7396,0.7412
2010-08-26,0.7411,0.7474,0.7405,0.7437
2010-08-27,0.7436,0.7522,0.7426,0.7473
2010-08-30,0.7491,0.7512,0.7435,0.7493
2010-08-31,0.7494,0.7498,0.7397,0.7441
2010-09-01,0.7442,0.75,0.7441,0.7473
2010-09-02,0.747,0.7548,0.7466,0.752
2010-09-03,0.7524,0.7576,0.7484,0.7491
2010-09-06,0.7475,0.7518,0.7466,0.7489
2010-09-07,0.749,0.755,0.7473,0.7542
2010-09-08,0.7536,0.7553,0.7476,0.7498
2010-09-09,0.7498,0.7523,0.7472,0.7492
2010-09-10,0.7492,0.7558,0.7476,0.7558
2010-09-13,0.7561,0.7568,0.7522,0.7542
2010-09-14,0.7542,0.7576,0.7474,0.7544
2010-09-15,0.7544,0.7557,0.7498,0.7498
2010-09-16,0.749,0.749,0.7418,0.7432
2010-09-17,0.7432,0.7512,0.743,0.7504
2010-09-20,0.751,0.7535,0.749,0.7508
2010-09-21,0.7509,0.7548,0.7479,0.7547
2010-09-22,0.7545,0.7615,0.7515,0.761
2010-09-23,0.761,0.7614,0.7518,0.7544
2010-09-24,0.7539,0.7551,0.7502,0.7522
2010-09-27,0.7538,0.7562,0.7507,0.7561
2010-09-28,0.7561,0.7632,0.7547,0.7614
2010-09-29,0.7615,0.7622,0.7557,0.7621
2010-09-30,0.7619,0.7635,0.7527,0.7558
2010-10-01,0.7557,0.7632,0.755,0.7597
2010-10-04,0.7587,0.7595,0.7564,0.759
2010-10-05,0.7582,0.7621,0.7545,0.7616
2010-10-06,0.7611,0.7636,0.7582,0.7607
2010-10-07,0.7607,0.7675,0.7595,0.7634
2010-10-08,0.7634,0.766,0.7583,0.7641
2010-10-11,0.7643,0.7649,0.7599,0.7623
