realtime_start,realtime_end,date,value
2024-01-30,2024-01-30,1939-01-01,29923
2024-01-30,2024-01-30,1939-02-01,30100
2024-01-30,2024-01-30,1939-03-01,30280
2024-01-30,2024-01-30,1939-04-01,30094
2024-01-30,2024-01-30,1939-05-01,30299
2024-01-30,2024-01-30,1939-06-01,30502
2024-01-30,2024-01-30,1939-07-01,30419
2024-01-30,2024-01-30,1939-08-01,30663
2024-01-30,2024-01-30,1939-09-01,31031
2024-01-30,2024-01-30,1939-10-01,31411
2024-01-30,2024-01-30,1939-11-01,31470
2024-01-30,2024-01-30,1939-12-01,31542
2024-01-30,2024-01-30,1940-01-01,31603
2024-01-30,2024-01-30,1940-02-01,31715
2024-01-30,2024-01-30,1940-03-01,31825
2024-01-30,2024-01-30,1940-04-01,31701
2024-01-30,2024-01-30,1940-05-01,31879
2024-01-30,2024-01-30,1940-06-01,31977
2024-01-30,2024-01-30,1940-07-01,31942
2024-01-30,2024-01-30,1940-08-01,32352
2024-01-30,2024-01-30,1940-09-01,32810
2024-01-30,2024-01-30,1940-10-01,33267
2024-01-30,2024-01-30,1940-11-01,33669
2024-01-30,2024-01-30,1940-12-01,34174
2024-01-30,2024-01-30,1941-01-01,34481
2024-01-30,2024-01-30,1941-02-01,34843
2024-01-30,2024-01-30,1941-03-01,35092
2024-01-30,2024-01-30,1941-04-01,35468
2024-01-30,2024-01-30,1941-05-01,36182
2024-01-30,2024-01-30,1941-06-01,36650
2024-01-30,2024-01-30,1941-07-01,37137
2024-01-30,2024-01-30,1941-08-01,37544
2024-01-30,2024-01-30,1941-09-01,37835
2024-01-30,2024-01-30,1941-10-01,37949
2024-01-30,2024-01-30,1941-11-01,38024
2024-01-30,2024-01-30,1941-12-01,38104
2024-01-30,2024-01-30,1942-01-01,38347
2024-01-30,2024-01-30,1942-02-01,38512
2024-01-30,2024-01-30,1942-03-01,38935
2024-01-30,2024-01-30,1942-04-01,39352
2024-01-30,2024-01-30,1942-05-01,39771
2024-01-30,2024-01-30,1942-06-01,40029
2024-01-30,2024-01-30,1942-07-01,40472
2024-01-30,2024-01-30,1942-08-01,40988
2024-01-30,2024-01-30,1942-09-01,41259
2024-01-30,2024-01-30,1942-10-01,41515
2024-01-30,2024-01-30,1942-11-01,41674
2024-01-30,2024-01-30,1942-12-01,41915
2024-01-30,2024-01-30,1943-01-01,42172
2024-01-30,2024-01-30,1943-02-01,42393
2024-01-30,2024-01-30,1943-03-01,42552
2024-01-30,2024-01-30,1943-04-01,42647
2024-01-30,2024-01-30,1943-05-01,42596
2024-01-30,2024-01-30,1943-06-01,42781
