date,open,high,low,close
2010-01-01,1.0533,1.0535,1.0519,1.0519
2010-01-04,1.0522,1.0522,1.0352,1.0414
2010-01-05,1.0414,1.0421,1.0337,1.039
2010-01-06,1.039,1.041,1.0313,1.0323
2010-01-07,1.0326,1.0374,1.0292,1.0346
2010-01-08,1.0345,1.0383,1.0297,1.03
2010-01-11,1.0281,1.0343,1.0254,1.0334
2010-01-12,1.0336,1.0413,1.0315,1.0388
2010-01-13,1.039,1.0411,1.029,1.0308
2010-01-14,1.0306,1.0323,1.0225,1.0234
2010-01-15,1.0236,1.0313,1.0234,1.0291
2010-01-18,1.0304,1.0314,1.0248,1.0261
2010-01-19,1.0263,1.0348,1.025,1.0313
2010-01-20,1.0311,1.0489,1.0307,1.0464
2010-01-21,1.0465,1.0525,1.044,1.0524
2010-01-22,1.0524,1.0601,1.0466,1.0579
2010-01-25,1.0583,1.0612,1.0533,1.0576
2010-01-26,1.0576,1.069,1.0547,1.0627
2010-01-27,1.0626,1.0688,1.0612,1.0642
2010-01-28,1.0643,1.0668,1.0557,1.0664
2010-01-29,1.0665,1.0705,1.0626,1.0705
2010-02-01,1.0707,1.0722,1.0606,1.0606
2010-02-02,1.0611,1.0639,1.0567,1.0573
2010-02-03,1.0573,1.0636,1.0547,1.0625
2010-02-04,1.0625,1.0753,1.0599,1.0743
2010-02-05,1.0741,1.078,1.0645,1.0712
2010-02-08,1.0687,1.0757,1.0658,1.0757
2010-02-09,1.0757,1.0775,1.0645,1.0658
2010-02-10,1.0652,1.0707,1.0597,1.0621
2010-02-11,1.062,1.063,1.0481,1.05
2010-02-12,1.0501,1.058,1.049,1.0503
2010-02-15,1.0512,1.0532,1.0464,1.0494
2010-02-16,1.0495,1.0498,1.0411,1.0436
2010-02-17,1.0442,1.0471,1.0413,1.0464
2010-02-18,1.0464,1.0498,1.0397,1.0471
2010-02-19,1.047,1.0531,1.0391,1.0395
2010-02-22,1.0386,1.044,1.0372,1.043
2010-02-23,1.043,1.0578,1.0383,1.0569
2010-02-24,1.0571,1.0594,1.0512,1.0536
2010-02-25,1.0536,1.0679,1.0516,1.0606
2010-02-26,1.0604,1.0618,1.0512,1.0517
2010-03-01,1.0547,1.0572,1.0412,1.0417
2010-03-02,1.0417,1.0442,1.0309,1.0357
2010-03-03,1.0357,1.0364,1.0274,1.0318
2010-03-04,1.0316,1.0339,1.0272,1.0316
