date,open,high,low,close
2010-01-01,1.0349,1.0359,1.0343,1.0353
2010-01-04,1.0369,1.0421,1.0264,1.0299
2010-01-05,1.0301,1.0361,1.0253,1.0337
2010-01-06,1.0338,1.038,1.0252,1.0276
2010-01-07,1.0276,1.037,1.0244,1.0339
2010-01-08,1.034,1.0383,1.0221,1.024
2010-01-11,1.0225,1.0242,1.0134,1.0163
2010-01-12,1.016,1.021,1.0146,1.0186
2010-01-13,1.0185,1.0219,1.0137,1.0182
2010-01-14,1.0182,1.0234,1.0161,1.0188
2010-01-15,1.0187,1.0287,1.0181,1.0254
2010-01-18,1.0277,1.0291,1.0237,1.0249
2010-01-19,1.0249,1.0356,1.0231,1.0325
2010-01-20,1.0324,1.0461,1.0319,1.044
2010-01-21,1.0441,1.0495,1.0403,1.0428
2010-01-22,1.0428,1.0443,1.0377,1.0412
2010-01-25,1.0402,1.0425,1.0369,1.0397
2010-01-26,1.0397,1.0492,1.038,1.0464
2010-01-27,1.0464,1.0525,1.0448,1.0501
2010-01-28,1.05,1.0557,1.0477,1.0522
2010-01-29,1.0522,1.0642,1.0484,1.0607
2010-02-01,1.0603,1.0622,1.0555,1.0563
2010-02-02,1.0561,1.0608,1.0542,1.0549
2010-02-03,1.0549,1.0599,1.0498,1.0595
2010-02-04,1.0596,1.0674,1.0581,1.0668
2010-02-05,1.0667,1.0855,1.0649,1.0725
2010-02-08,1.0748,1.0772,1.0686,1.0734
2010-02-09,1.0734,1.0747,1.0611,1.0639
2010-02-10,1.0639,1.0719,1.062,1.0677
2010-02-11,1.0675,1.0783,1.0628,1.0706
2010-02-12,1.0705,1.0828,1.0703,1.0753
2010-02-15,1.0768,1.0803,1.0756,1.0776
2010-02-16,1.0776,1.0788,1.0655,1.066
2010-02-17,1.066,1.0799,1.0649,1.0784
2010-02-18,1.0785,1.0845,1.0748,1.0835
2010-02-19,1.0832,1.0898,1.0753,1.0757
2010-02-22,1.0744,1.0788,1.074,1.0761
2010-02-23,1.0761,1.0848,1.0716,1.0839
2010-02-24,1.0837,1.0842,1.0739,1.0809
2010-02-25,1.0808,1.0879,1.0786,1.0801
2010-02-26,1.0801,1.0816,1.0696,1.0736
2010-03-01,1.074,1.0873,1.0721,1.0791
2010-03-02,1.0792,1.0888,1.0745,1.0748
2010-03-03,1.0749,1.0763,1.0649,1.0679
2010-03-04,1.0678,1.0795,1.067,1.0771
2010-03-05,1.077,1.081,1.0734,1.0742
2010-03-08,1.0732,1.0748,1.0677,1.0732
2010-03-09,1.0733,1.0804,1.0727,1.0751
2010-03-10,1.0751,1.0793,1.0686,1.0699
2010-03-11,1.0699,1.0731,1.0683,1.0685
2010-03-12,1.0686,1.0696,1.0578,1.0578
2010-03-15,1.0588,1.0641,1.0581,1.0619
2010-03-16,1.0621,1.0625,1.0533,1.0549
2010-03-17,1.0548,1.0565,1.0508,1.0541
2010-03-18,1.0541,1.0645,1.0536,1.058
2010-03-19,1.058,1.0633,1.0542,1.0614
2010-03-22,1.061,1.0661,1.0564,1.0581
2010-03-23,1.0582,1.0639,1.0547,1.0575
2010-03-24,1.0573,1.0739,1.056,1.073
2010-03-25,1.0732,1.0748,1.0674,1.0743
2010-03-26,1.0742,1.0745,1.0639,1.0651
2010-03-29,1.059,1.0689,1.0588,1.0623
2010-03-30,1.0624,1.0679,1.0589,1.0666
2010-03-31,1.0667,1.0684,1.0489,1.0539
2010-04-01,1.054,1.061,1.0435,1.0543
2010-04-02,1.0544,1.0644,1.0539,1.0614
2010-04-05,1.0617,1.0644,1.0586,1.0623
2010-04-06,1.0622,1.0722,1.0615,1.0688
2010-04-07,1.0688,1.0744,1.0682,1.0739
2010-04-08,1.0738,1.0786,1.0718,1.0728
2010-04-09,1.0728,1.0763,1.0657,1.0658
2010-04-12,1.0532,1.0616,1.0532,1.0592
2010-04-13,1.0592,1.0603,1.0536,1.0536
2010-04-14,1.0537,1.056,1.0503,1.0519
2010-04-15,1.0519,1.061,1.0508,1.0563
2010-04-16,1.0562,1.0634,1.0557,1.0615
2010-04-19,1.0637,1.069,1.0616,1.063
2010-04-20,1.063,1.0689,1.0603,1.0687
2010-04-21,1.0687,1.0724,1.066,1.0704
2010-04-22,1.0704,1.0802,1.0675,1.0784
2010-04-23,1.0785,1.085,1.0717,1.0729
2010-04-26,1.0752,1.0787,1.0715,1.0727
2010-04-27,1.0722,1.0882,1.0702,1.0881
2010-04-28,1.0882,1.0923,1.0815,1.0844
2010-04-29,1.0845,1.0869,1.0808,1.0838
2010-04-30,1.0838,1.0846,1.0747,1.0776
2010-05-03,1.0771,1.0888,1.0732,1.0859
2010-05-04,1.086,1.1033,1.0842,1.103
2010-05-05,1.1031,1.1193,1.1024,1.1193
2010-05-06,1.1198,1.1246,1.1018,1.1139
2010-05-07,1.1132,1.1177,1.1056,1.108
2010-05-10,1.1005,1.1116,1.0924,1.1098
2010-05-11,1.1098,1.1132,1.1036,1.1118
2010-05-12,1.1118,1.1139,1.1059,1.1114
2010-05-13,1.1114,1.1187,1.1079,1.1176
2010-05-14,1.1175,1.1337,1.1151,1.1336
2010-05-17,1.1348,1.1447,1.1296,1.1312
2010-05-18,1.1311,1.1507,1.1268,1.1477
2010-05-19,1.1481,1.1584,1.1419,1.1498
2010-05-20,1.1498,1.1574,1.1452,1.1507
2010-05-21,1.1507,1.158,1.1451,1.1498
2010-05-24,1.1509,1.161,1.1493,1.1592
2010-05-25,1.1593,1.1694,1.1562,1.1571
2010-05-26,1.1571,1.1625,1.1516,1.1604
2010-05-27,1.16,1.1655,1.1487,1.151
2010-05-28,1.151,1.1596,1.1482,1.1591
2010-05-31,1.1592,1.1594,1.154,1.1548
2010-06-01,1.1548,1.1728,1.147,1.1569
2010-06-02,1.1565,1.1604,1.1527,1.1548
2010-06-03,1.1547,1.1574,1.1497,1.1565
2010-06-04,1.1566,1.1644,1.1421,1.1625
2010-06-07,1.1645,1.1672,1.159,1.1631
2010-06-08,1.1634,1.1638,1.1487,1.1522
2010-06-09,1.1521,1.1554,1.1418,1.1487
2010-06-10,1.1485,1.1504,1.1403,1.1417
2010-06-11,1.1417,1.1544,1.1409,1.1493
2010-06-14,1.1482,1.1489,1.1351,1.1421
2010-06-15,1.1421,1.1479,1.1297,1.1332
