date,open,high,low,close
2010-01-01,6.8295,6.8285,6.8165,6.8211
2010-01-04,6.8312,6.8283,6.8282,6.8342
2010-01-05,6.8364,6.8285,6.8282,6.827
2010-01-06,6.8278,6.8282,6.8283,6.8252
2010-01-07,6.8243,6.8283,6.8284,6.8319
2010-01-08,6.8321,6.8473,6.8283,6.8571
2010-01-11,6.843,6.8245,6.852,6.8249
2010-01-12,6.8225,6.8263,6.8279,6.8212
2010-01-13,6.8206,6.8266,6.8274,6.8327
2010-01-14,6.8322,6.8266,6.8274,6.8268
2010-01-15,6.8265,6.8232,6.827,6.8182
2010-01-18,6.8346,6.8308,6.8275,6.8371
2010-01-19,6.8345,6.8267,6.8273,6.8243
2010-01-20,6.8241,6.8237,6.8281,6.8292
2010-01-21,6.8299,6.8265,6.8272,6.8326
2010-01-22,6.8312,6.8267,6.835,6.8336
2010-01-25,6.8248,6.8265,6.827,6.825
2010-01-26,6.8246,6.8266,6.8268,6.8314
2010-01-27,6.83,6.8268,6.8268,6.8287
2010-01-28,6.8296,6.8268,6.827,6.8235
2010-01-29,6.8244,6.8269,6.8244,6.8328
2010-02-01,6.8317,6.8266,6.8271,6.8233
2010-02-02,6.8218,6.8278,6.8269,6.8317
2010-02-03,6.8318,6.8271,6.8254,6.8293
2010-02-04,6.8303,6.8269,6.8226,6.8367
2010-02-05,6.8355,6.8271,6.8272,6.8066
2010-02-08,6.8185,6.8263,6.8275,6.8296
2010-02-09,6.8293,6.8267,6.8307,6.8197
2010-02-10,6.8203,6.8275,6.8302,6.8352
2010-02-11,6.8343,6.8274,6.8355,6.8311
2010-02-12,6.8333,6.8328,6.8358,6.8298
2010-02-15,6.837,6.8358,6.8358,6.8352
2010-02-16,6.8358,6.8356,6.8356,6.8328
2010-02-17,6.8325,6.8359,6.8356,6.8366
2010-02-18,6.8394,6.8357,6.8004,6.8033
2010-02-19,6.804,6.8457,6.8387,6.8432
2010-02-22,6.828,6.8278,6.832,6.8317
2010-02-23,6.8308,6.8277,6.8275,6.8363
2010-02-24,6.8358,6.8269,6.828,6.8287
2010-02-25,6.8285,6.8266,6.8276,6.8206
2010-02-26,6.8213,6.826,6.8296,6.832
2010-03-01,6.8349,6.8261,6.827,6.8261
2010-03-02,6.826,6.8266,6.8264,6.8294
2010-03-03,6.8288,6.8264,6.8264,6.828
2010-03-04,6.8279,6.8261,6.8268,6.8259
