date,open,high,low,close
2010-01-01,18.348,18.348,18.347,18.347
2010-01-04,18.438,18.508,18.125,18.156
2010-01-05,18.144,18.307,18.048,18.287
2010-01-06,18.272,18.412,18.181,18.238
2010-01-07,18.257,18.44,18.204,18.376
2010-01-08,18.37,18.462,18.194,18.242
2010-01-11,18.175,18.175,17.99,18.042
2010-01-12,18.054,18.165,18.024,18.099
2010-01-13,18.116,18.137,17.936,18.022
2010-01-14,18.009,18.009,17.89,17.929
2010-01-15,17.936,18.092,17.92,18.044
2010-01-18,18.077,18.123,17.954,17.975
2010-01-19,17.979,18.151,17.899,18.057
2010-01-20,18.057,18.48,18.05,18.438
2010-01-21,18.433,18.567,18.375,18.547
2010-01-22,18.535,18.588,18.361,18.434
2010-01-25,18.434,18.458,18.31,18.383
2010-01-26,18.387,18.604,18.347,18.524
2010-01-27,18.522,18.703,18.5,18.66
2010-01-28,18.66,18.847,18.564,18.826
2010-01-29,18.811,18.917,18.727,18.911
2010-02-01,18.859,18.889,18.597,18.621
2010-02-02,18.629,18.678,18.568,18.597
2010-02-03,18.59,18.763,18.473,18.744
2010-02-04,18.745,19.14,18.728,19.114
2010-02-05,19.105,19.288,18.998,19.172
2010-02-08,19.187,19.219,18.995,19.184
2010-02-09,19.191,19.196,18.841,18.923
2010-02-10,18.933,19.079,18.852,18.984
2010-02-11,18.979,19.14,18.885,18.955
2010-02-12,18.947,19.275,18.947,19.069
2010-02-15,19.067,19.206,19.051,19.196
2010-02-16,19.202,19.213,18.864,18.892
2010-02-17,18.884,19.008,18.771,18.997
2010-02-18,18.986,19.1,18.849,19.077
2010-02-19,19.083,19.154,18.89,18.922
2010-02-22,18.865,18.978,18.833,18.934
2010-02-23,18.918,19.092,18.787,19.055
2010-02-24,19.045,19.158,18.989,19.101
2010-02-25,19.12,19.334,19.12,19.191
2010-02-26,19.198,19.204,18.957,19.028
2010-03-01,19.022,19.24,18.968,19.06
2010-03-02,19.066,19.233,18.912,18.935
2010-03-03,18.926,18.966,18.751,18.796
2010-03-04,18.8,19.054,18.785,19.006
2010-03-05,18.993,19.034,18.815,18.826
2010-03-08,18.806,18.833,18.688,18.813
2010-03-09,18.822,18.962,18.78,18.824
2010-03-10,18.822,18.92,18.667,18.721
2010-03-11,18.728,18.787,18.653,18.66
2010-03-12,18.652,18.68,18.465,18.556
2010-03-15,18.524,18.693,18.52,18.638
2010-03-16,18.638,18.66,18.472,18.506
2010-03-17,18.502,18.508,18.412,18.481
2010-03-18,18.485,18.703,18.472,18.659
