date,open,high,low,close
2010-01-01,5.1936,5.195,5.1893,5.1925
2010-01-04,5.2025,5.2188,5.148,5.1636
2010-01-05,5.1641,5.1868,5.1376,5.1801
2010-01-06,5.1802,5.2102,5.1554,5.1638
2010-01-07,5.1636,5.2036,5.1507,5.1995
2010-01-08,5.1992,5.2164,5.1542,5.1657
2010-01-11,5.1569,5.1637,5.1134,5.1266
2010-01-12,5.1258,5.1478,5.1158,5.1357
2010-01-13,5.135,5.1462,5.1036,5.1273
2010-01-14,5.1275,5.1506,5.1121,5.1321
2010-01-15,5.132,5.1908,5.1276,5.1726
2010-01-18,5.1841,5.191,5.1679,5.1739
2010-01-19,5.1739,5.2213,5.1635,5.2086
2010-01-20,5.2084,5.2855,5.2059,5.2758
2010-01-21,5.276,5.3041,5.2623,5.2835
2010-01-22,5.2835,5.2894,5.2506,5.266
2010-01-25,5.259,5.2696,5.2451,5.2613
2010-01-26,5.2613,5.3017,5.2513,5.2909
2010-01-27,5.2908,5.3199,5.282,5.3086
2010-01-28,5.3092,5.3396,5.2987,5.328
2010-01-29,5.3285,5.3706,5.3224,5.3706
2010-02-01,5.3697,5.3736,5.3422,5.3441
2010-02-02,5.3446,5.3614,5.3279,5.3313
2010-02-03,5.331,5.3605,5.3082,5.358
2010-02-04,5.3585,5.4246,5.3545,5.4246
2010-02-05,5.4239,5.4792,5.4159,5.4414
2010-02-08,5.4495,5.4648,5.4283,5.4542
2010-02-09,5.4542,5.456,5.3802,5.3963
2010-02-10,5.3966,5.4429,5.3904,5.4199
2010-02-11,5.4196,5.4756,5.3953,5.4374
2010-02-12,5.4371,5.5012,5.4367,5.4593
2010-02-15,5.4642,5.482,5.4602,5.4734
2010-02-16,5.4737,5.4766,5.402,5.405
2010-02-17,5.4053,5.4778,5.3985,5.4709
2010-02-18,5.4721,5.5054,5.4513,5.5028
2010-02-19,5.5003,5.5338,5.4656,5.4672
2010-02-22,5.4575,5.4832,5.4513,5.4742
2010-02-23,5.4735,5.5139,5.4362,5.5098
2010-02-24,5.5086,5.5122,5.4619,5.4967
2010-02-25,5.4963,5.5327,5.4847,5.4931
2010-02-26,5.493,5.4999,5.4392,5.4617
2010-03-01,5.4632,5.5291,5.4509,5.488
2010-03-02,5.4883,5.5385,5.4641,5.4665
2010-03-03,5.4665,5.4746,5.4179,5.4336
2010-03-04,5.4334,5.4919,5.4273,5.4793
2010-03-05,5.479,5.5,5.4598,5.4631
2010-03-08,5.4587,5.4696,5.4305,5.4582
2010-03-09,5.4586,5.4973,5.4579,5.4709
2010-03-10,5.4706,5.4928,5.4398,5.4492
2010-03-11,5.4494,5.4628,5.4365,5.4394
2010-03-12,5.4397,5.4429,5.3937,5.4046
2010-03-15,5.4062,5.455,5.4023,5.4409
2010-03-16,5.4423,5.4491,5.399,5.4055
2010-03-17,5.405,5.4209,5.3855,5.4162
2010-03-18,5.416,5.4767,5.4154,5.4672
2010-03-19,5.4674,5.5095,5.4608,5.4989
2010-03-22,5.4961,5.5256,5.4846,5.4879
2010-03-23,5.4882,5.5207,5.4838,5.5115
2010-03-24,5.5109,5.5891,5.5092,5.5891
2010-03-25,5.5895,5.6074,5.5591,5.6056
2010-03-26,5.6056,5.6075,5.544,5.5499
2010-03-29,5.5045,5.5453,5.5045,5.5203
2010-03-30,5.5209,5.5566,5.499,5.5512
2010-03-31,5.5514,5.5625,5.4948,5.5102
2010-04-01,5.5104,5.5308,5.4786,5.4806
2010-04-02,5.4815,5.5253,5.4787,5.5141
2010-04-05,5.5169,5.5315,5.5004,5.5223
2010-04-06,5.522,5.5733,5.5171,5.5552
2010-04-07,5.5551,5.5846,5.5522,5.5784
2010-04-08,5.5779,5.6047,5.5687,5.5709
2010-04-09,5.5708,5.5788,5.5138,5.5138
2010-04-12,5.4464,5.4854,5.4368,5.4764
2010-04-13,5.4765,5.4946,5.4624,5.4675
2010-04-14,5.4682,5.4746,5.4413,5.4517
2010-04-15,5.4519,5.5041,5.4461,5.4831
2010-04-16,5.4823,5.524,5.4788,5.5123
2010-04-19,5.525,5.547,5.5142,5.5177
2010-04-20,5.5176,5.5416,5.5034,5.5392
2010-04-21,5.539,5.5709,5.5347,5.5581
2010-04-22,5.5582,5.611,5.5453,5.5989
2010-04-23,5.599,5.6366,5.5543,5.5616
2010-04-26,5.5757,5.5989,5.5552,5.5601
2010-04-27,5.5574,5.6516,5.5476,5.6499
2010-04-28,5.6507,5.6745,5.6101,5.6291
2010-04-29,5.6298,5.644,5.6044,5.6238
2010-04-30,5.6237,5.6277,5.5788,5.598
2010-05-03,5.5931,5.6574,5.5702,5.6413
2010-05-04,5.642,5.7322,5.6326,5.7308
2010-05-05,5.7312,5.816,5.7277,5.816
2010-05-06,5.8181,5.9435,5.79,5.8978
2010-05-07,5.8949,5.9124,5.816,5.8336
2010-05-10,5.7614,5.8311,5.6845,5.82
2010-05-11,5.8204,5.8788,5.8128,5.8775
2010-05-12,5.8788,5.903,5.8417,5.8981
2010-05-13,5.8977,5.9415,5.8666,5.9341
2010-05-14,5.9337,6.0218,5.9155,6.0195
2010-05-17,6.0282,6.0813,5.9936,6.0024
2010-05-18,6.0019,6.1128,5.9788,6.0976
2010-05-19,6.0991,6.1265,5.9895,5.9905
2010-05-20,5.9888,6.051,5.9089,5.9608
2010-05-21,5.9608,5.9722,5.8741,5.9202
2010-05-24,5.9358,6.0279,5.9264,6.0159
2010-05-25,6.0163,6.1093,6.0163,6.0266
2010-05-26,6.0266,6.1135,6.0063,6.1094
2010-05-27,6.1072,6.121,6.0032,6.019
2010-05-28,6.0192,6.0659,5.9745,6.0625
2010-05-31,6.0657,6.067,6.0324,6.0456
2010-06-01,6.0456,6.1421,6.0223,6.0832
2010-06-02,6.081,6.1106,6.0622,6.0741
2010-06-03,6.074,6.1221,6.0364,6.1183
2010-06-04,6.1184,6.2208,6.0918,6.2146
2010-06-07,6.2343,6.2609,6.2038,6.2379
2010-06-08,6.2386,6.248,6.1958,6.2136
2010-06-09,6.2142,6.2379,6.1626,6.2097
2010-06-10,6.2094,6.2211,6.1276,6.1349
2010-06-11,6.135,6.1717,6.1227,6.1406
2010-06-14,6.132,6.1385,6.0475,6.085
2010-06-15,6.0845,6.1109,6.0231,6.0319
2010-06-16,6.0316,6.0671,6.0217,6.0429
2010-06-17,6.0433,6.0754,5.9956,6.0051
2010-06-18,6.006,6.0215,5.993,6.0053
2010-06-21,5.9761,6.0468,5.957,6.0429
2010-06-22,6.0423,6.0743,6.0245,6.0657
2010-06-23,6.0662,6.0955,6.0313,6.0454
2010-06-24,6.0458,6.0686,6.009,6.0346
2010-06-25,6.0347,6.0736,6.0068,6.0174
2010-06-28,6.0164,6.0696,6.0046,6.0649
2010-06-29,6.0652,6.1302,6.0586,6.1128
2010-06-30,6.1128,6.1219,6.0544,6.0882
2010-07-01,6.0889,6.1085,5.9407,5.9455
2010-07-02,5.945,5.9667,5.9071,5.9304
2010-07-05,5.933,5.9567,5.9316,5.9434
2010-07-06,5.9434,5.9703,5.8864,5.9035
2010-07-07,5.9047,5.9365,5.8859,5.8986
2010-07-08,5.8992,5.905,5.8644,5.8711
2010-07-09,5.8702,5.9128,5.8601,5.8981
2010-07-12,5.8995,5.9391,5.8949,5.9193
2010-07-13,5.9203,5.9526,5.8546,5.8603
2010-07-14,5.8604,5.8737,5.8318,5.8468
2010-07-15,5.847,5.8623,5.7518,5.7538
2010-07-16,5.7551,5.7787,5.7295,5.7629
2010-07-19,5.7742,5.7891,5.7365,5.7586
2010-07-20,5.7579,5.8034,5.7202,5.7846
2010-07-21,5.7836,5.8516,5.7719,5.8432
2010-07-22,5.8432,5.8498,5.7639,5.78
2010-07-23,5.7799,5.8244,5.7478,5.7748
2010-07-26,5.7803,5.7867,5.7315,5.7351
2010-07-27,5.7351,5.7537,5.7134,5.7344
2010-07-28,5.7347,5.7466,5.7147,5.734
2010-07-29,5.7343,5.7414,5.6846,5.6968
2010-07-30,5.6959,5.7404,5.6918,5.7095
2010-08-02,5.7041,5.7075,5.6463,5.6533
2010-08-03,5.6534,5.6666,5.618,5.6311
2010-08-04,5.6308,5.6734,5.6277,5.6615
2010-08-05,5.6616,5.6794,5.6301,5.65
2010-08-06,5.6501,5.6622,5.5885,5.6111
2010-08-09,5.6048,5.6372,5.5993,5.6347
2010-08-10,5.6335,5.6978,5.6309,5.6548
2010-08-11,5.6543,5.7928,5.6503,5.7921
2010-08-12,5.7932,5.8288,5.7612,5.8074
2010-08-13,5.8077,5.8427,5.7738,5.8409
2010-08-16,5.837,5.8507,5.7884,5.8077
2010-08-17,5.8076,5.817,5.7677,5.7817
2010-08-18,5.7819,5.8085,5.7654,5.7965
2010-08-19,5.7972,5.8327,5.7757,5.8099
2010-08-20,5.8095,5.8833,5.8067,5.8615
2010-08-23,5.8642,5.8893,5.8535,5.8856
2010-08-24,5.885,5.9162,5.8569,5.8996
2010-08-25,5.9009,5.9069,5.853,5.8835
2010-08-26,5.8841,5.8859,5.8347,5.8562
2010-08-27,5.8558,5.8746,5.828,5.8357
2010-08-30,5.836,5.8812,5.8327,5.8805
2010-08-31,5.8809,5.8963,5.8431,5.8712
2010-09-01,5.8711,5.8785,5.7908,5.812
2010-09-02,5.8117,5.8261,5.7945,5.8054
2010-09-03,5.8051,5.8125,5.772,5.7723
2010-09-06,5.7752,5.7862,5.7633,5.7826
2010-09-07,5.7824,5.872,5.7823,5.8707
2010-09-08,5.8714,5.8813,5.8334,5.8527
2010-09-09,5.8525,5.8774,5.833,5.8647
2010-09-10,5.8649,5.8881,5.8417,5.8726
2010-09-13,5.8556,5.8605,5.7763,5.7804
2010-09-14,5.78,5.8031,5.7144,5.729
2010-09-15,5.7292,5.7477,5.7121,5.7239
2010-09-16,5.7238,5.7382,5.6773,5.6944
2010-09-17,5.6941,5.7191,5.6604,5.7052
2010-09-20,5.7007,5.7158,5.6761,5.7017
2010-09-21,5.7014,5.7033,5.6135,5.6164
2010-09-22,5.6171,5.6227,5.5439,5.5574
2010-09-23,5.5549,5.5987,5.5549,5.5963
2010-09-24,5.5965,5.6074,5.5206,5.5219
2010-09-27,5.5242,5.549,5.5166,5.538
2010-09-28,5.5378,5.5682,5.482,5.4853
2010-09-29,5.485,5.4922,5.461,5.4682
2010-09-30,5.4684,5.4954,5.4462,5.4661
2010-10-01,5.4661,5.4721,5.4039,5.4042
2010-10-04,5.3988,5.4537,5.3983,5.4473
2010-10-05,5.4478,5.465,5.379,5.3859
2010-10-06,5.3867,5.4015,5.3448,5.3512
2010-10-07,5.3505,5.3792,5.3148,5.3535
2010-10-08,5.3531,5.3893,5.3324,5.3483
2010-10-11,5.3281,5.3772,5.3212,5.3747
2010-10-12,5.3749,5.4133,5.351,5.3537
2010-10-13,5.3541,5.3592,5.3254,5.3408
2010-10-14,5.3414,5.3435,5.2811,5.2941
2010-10-15,5.2939,5.3498,5.2682,5.3343
2010-10-18,5.3294,5.391,5.3282,5.3531
2010-10-19,5.3521,5.4378,5.3267,5.4335
2010-10-20,5.4331,5.4448,5.3313,5.3418
2010-10-21,5.342,5.3763,5.3084,5.3583
2010-10-22,5.3582,5.3817,5.3389,5.3443
2010-10-25,5.3378,5.3519,5.2971,5.3402
2010-10-26,5.3401,5.3941,5.3345,5.3821
2010-10-27,5.382,5.4307,5.3748,5.4169
2010-10-28,5.4172,5.4188,5.3486,5.3539
2010-10-29,5.3543,5.4004,5.347,5.347
2010-11-01,5.3409,5.3784,5.3229,5.3675
2010-11-02,5.3673,5.3708,5.3043,5.3129
2010-11-03,5.3126,5.3281,5.2517,5.2725
2010-11-04,5.2725,5.2854,5.2202,5.247
2010-11-05,5.2474,5.3144,5.2335,5.3114
2010-11-08,5.3098,5.3665,5.2946,5.354
2010-11-09,5.3547,5.4191,5.3348,5.4116
2010-11-10,5.4117,5.4522,5.3915,5.4079
2010-11-11,5.4083,5.4652,5.3936,5.4535
2010-11-12,5.4535,5.491,5.4105,5.444
2010-11-15,5.4374,5.4961,5.4202,5.4867
2010-11-16,5.4859,5.5437,5.459,5.5274
2010-11-17,5.5274,5.5383,5.4956,5.5113
2010-11-18,5.5117,5.5119,5.4543,5.4653
2010-11-19,5.4657,5.4785,5.4298,5.4525
2010-11-22,5.4349,5.4913,5.4078,5.4708
2010-11-23,5.4705,5.5793,5.4692,5.5764
2010-11-24,5.5765,5.6117,5.555,5.5906
2010-11-25,5.5905,5.611,5.5706,5.5804
2010-11-26,5.58,5.6456,5.58,5.6288
2010-11-29,5.6126,5.7062,5.5848,5.6793
2010-11-30,5.6803,5.7467,5.6684,5.7405
2010-12-01,5.7403,5.7462,5.6538,5.6721
2010-12-02,5.6716,5.7057,5.6266,5.6425
2010-12-03,5.6421,5.6476,5.5471,5.555
2010-12-06,5.5696,5.6249,5.5523,5.6005
2010-12-07,5.6014,5.6209,5.5612,5.6208
2010-12-08,5.6211,5.6552,5.6137,5.6224
2010-12-09,5.6227,5.6607,5.5974,5.631
2010-12-10,5.631,5.6556,5.6128,5.6355
2010-12-13,5.6485,5.6533,5.5496,5.5665
2010-12-14,5.5663,5.5772,5.5224,5.5725
2010-12-15,5.5722,5.6407,5.57,5.639
2010-12-16,5.6379,5.6507,5.6168,5.624
2010-12-17,5.6242,5.6716,5.5763,5.6478
2010-12-20,5.6489,5.6886,5.6487,5.674
