date,open,high,low,close
2010-01-01,7.7545,7.7547,7.7544,7.7544
2010-01-04,7.7544,7.7583,7.7538,7.7557
2010-01-05,7.7557,7.7574,7.7553,7.7561
2010-01-06,7.7561,7.7567,7.7542,7.7544
2010-01-07,7.7544,7.7558,7.7541,7.7556
2010-01-08,7.7556,7.7567,7.7552,7.7561
2010-01-11,7.7562,7.7562,7.7546,7.7552
2010-01-12,7.7551,7.7555,7.7545,7.7554
2010-01-13,7.7554,7.7575,7.7546,7.7569
2010-01-14,7.7564,7.758,7.7554,7.7579
2010-01-15,7.7579,7.7609,7.757,7.7607
2010-01-18,7.7606,7.7636,7.7596,7.7631
2010-01-19,7.7631,7.7648,7.7622,7.7632
2010-01-20,7.7634,7.769,7.7625,7.7687
2010-01-21,7.7687,7.7719,7.7678,7.7709
2010-01-22,7.7709,7.774,7.7696,7.7722
2010-01-25,7.772,7.773,7.7669,7.7694
2010-01-26,7.7693,7.7763,7.7662,7.776
2010-01-27,7.776,7.7767,7.7747,7.7766
2010-01-28,7.7765,7.7765,7.7665,7.7674
2010-01-29,7.7678,7.773,7.7634,7.7652
2010-02-01,7.7652,7.7692,7.765,7.7677
2010-02-02,7.7677,7.7685,7.766,7.7661
2010-02-03,7.7661,7.7673,7.7645,7.767
2010-02-04,7.767,7.7712,7.7658,7.7707
2010-02-05,7.7707,7.7719,7.7696,7.7704
2010-02-08,7.7704,7.772,7.7698,7.7712
2010-02-09,7.7712,7.7715,7.7688,7.77
2010-02-10,7.7699,7.772,7.7682,7.7696
2010-02-11,7.7696,7.7712,7.7688,7.7695
2010-02-12,7.7695,7.7716,7.7688,7.7704
2010-02-15,7.7704,7.7728,7.7693,7.7721
2010-02-16,7.7721,7.7724,7.7697,7.7697
2010-02-17,7.7697,7.77,7.7671,7.7674
2010-02-18,7.7674,7.7685,7.7656,7.7657
2010-02-19,7.7657,7.7681,7.7655,7.7657
2010-02-22,7.7671,7.7671,7.7626,7.7628
2010-02-23,7.7628,7.7632,7.7606,7.7622
2010-02-24,7.7622,7.7665,7.762,7.7658
2010-02-25,7.7658,7.7662,7.7633,7.7646
2010-02-26,7.7646,7.7646,7.7611,7.7627
2010-03-01,7.7627,7.7655,7.7619,7.7647
2010-03-02,7.7647,7.7654,7.7621,7.7624
2010-03-03,7.7624,7.7634,7.7621,7.7624
2010-03-04,7.7625,7.7634,7.7622,7.7631
2010-03-05,7.7631,7.7639,7.7623,7.7626
2010-03-08,7.7629,7.763,7.758,7.7586
2010-03-09,7.7586,7.7612,7.7584,7.7591
2010-03-10,7.7591,7.7601,7.7583,7.7584
2010-03-11,7.7584,7.7598,7.7584,7.759
2010-03-12,7.759,7.7609,7.7567,7.7572
2010-03-15,7.757,7.7595,7.757,7.759
2010-03-16,7.7592,7.7615,7.7581,7.761
2010-03-17,7.7611,7.7623,7.76,7.7616
2010-03-18,7.7616,7.7619,7.7604,7.7609
2010-03-19,7.7607,7.7607,7.7588,7.7595
2010-03-22,7.7595,7.7619,7.7591,7.7611
2010-03-23,7.7611,7.7625,7.7606,7.762
2010-03-24,7.762,7.7623,7.7609,7.7614
2010-03-25,7.7614,7.7621,7.7608,7.7617
2010-03-26,7.7616,7.7629,7.7611,7.7623
2010-03-29,7.7622,7.7648,7.762,7.7638
2010-03-30,7.7639,7.7649,7.7632,7.7648
2010-03-31,7.7648,7.7652,7.7635,7.7647
2010-04-01,7.7647,7.7676,7.764,7.7664
2010-04-02,7.7664,7.7683,7.766,7.7678
2010-04-05,7.7676,7.768,7.7657,7.7658
2010-04-06,7.7658,7.7666,7.7649,7.7652
2010-04-07,7.7652,7.7656,7.76,7.7605
2010-04-08,7.7605,7.7627,7.7582,7.7594
2010-04-09,7.7594,7.7598,7.7557,7.7559
2010-04-12,7.757,7.7586,7.7563,7.7582
2010-04-13,7.7582,7.7611,7.7577,7.7605
2010-04-14,7.7605,7.7621,7.7588,7.761
2010-04-15,7.761,7.7615,7.7601,7.7602
2010-04-16,7.7602,7.7625,7.7602,7.7618
2010-04-19,7.7618,7.764,7.7613,7.763
2010-04-20,7.763,7.7642,7.7619,7.7642
2010-04-21,7.7642,7.7642,7.7627,7.7639
2010-04-22,7.7639,7.7639,7.7602,7.761
