date,open,high,low,close
2010-01-01,,,,
2010-01-04,188.5,189.99,185.72,186.3
2010-01-05,186.17,187.91,185.03,187.81
2010-01-06,187.57,189.14,186.02,186.54
2010-01-07,186.53,189.25,185.98,188.41
2010-01-08,188.26,188.86,185.3,185.4
2010-01-11,185.46,185.49,183.37,183.97
2010-01-12,184.09,185.89,183.9,184.83
2010-01-13,184.99,185.29,182.58,183.85
2010-01-14,183.42,185.24,183.09,183.91
2010-01-15,183.98,187.42,183.93,186.67
2010-01-18,186.63,187.08,185.52,185.55
2010-01-19,185.59,188.01,185.18,187.15
2010-01-20,187.15,192.73,187.08,192.15
2010-01-21,192.08,194.25,191.27,193.08
2010-01-22,192.95,193.36,190.74,191.94
2010-01-25,191.83,193.27,190.54,192.51
2010-01-26,192.55,194.44,192.09,192.78
2010-01-27,192.76,195.08,192.54,194.34
2010-01-28,194.33,195.77,193.2,195.13
2010-01-29,194.97,195.77,193.61,195.7
2010-02-01,195.76,195.96,193.35,193.56
2010-02-02,193.64,194.38,193.04,193.4
2010-02-03,193.33,195.52,192.08,195.42
2010-02-04,195.31,199.88,195.27,199.58
2010-02-05,199.49,202.28,198.46,201.01
2010-02-08,201.14,201.45,199.03,200.53
2010-02-09,200.6,200.65,195.58,196.7
2010-02-10,196.66,198.57,195.8,197.37
2010-02-11,197.35,199.72,196.21,197.29
2010-02-12,197.23,200.62,197.21,199.23
2010-02-15,199.01,200.68,198.95,200.42
2010-02-16,200.33,200.55,196.55,197.08
2010-02-17,197.12,200.0,196.26,199.36
2010-02-18,199.25,201.58,198.65,201.34
2010-02-19,201.5,202.57,198.74,199.07
2010-02-22,198.59,199.21,197.91,198.42
2010-02-23,198.24,200.52,196.69,200.08
2010-02-24,200.02,200.5,198.35,199.13
2010-02-25,199.17,201.42,199.17,199.96
2010-02-26,199.92,200.06,196.95,198.06
2010-03-01,197.62,199.92,197.04,197.18
2010-03-02,197.24,199.47,195.43,195.68
2010-03-03,195.71,196.17,193.65,194.07
2010-03-04,194.07,197.13,193.94,196.53
2010-03-05,196.36,196.75,195.31,195.4
2010-03-08,195.2,195.68,193.67,195.15
2010-03-09,195.2,197.91,194.91,196.13
2010-03-10,196.12,197.37,194.52,195.04
2010-03-11,195.14,196.14,194.61,194.7
2010-03-12,194.66,194.86,192.81,193.23
2010-03-15,192.89,194.14,192.88,193.83
2010-03-16,193.84,194.02,191.4,191.79
2010-03-17,191.57,191.68,189.66,190.17
2010-03-18,190.26,193.27,190.16,192.7
2010-03-19,192.73,195.49,192.38,194.74
2010-03-22,194.96,196.94,194.21,194.4
2010-03-23,194.26,196.86,194.26,196.19
2010-03-24,196.27,198.31,195.97,197.96
2010-03-25,197.97,199.33,197.16,198.97
2010-03-26,198.7,198.74,197.44,198.0
2010-03-29,197.25,197.82,196.17,196.68
2010-03-30,196.71,199.13,195.74,198.66
2010-03-31,198.53,199.24,195.95,196.43
2010-04-01,196.28,196.9,194.95,194.98
2010-04-02,195.03,196.86,194.85,196.75
2010-04-05,196.32,196.8,195.61,196.15
2010-04-06,196.4,198.87,196.4,197.63
2010-04-07,197.89,199.98,197.68,199.75
2010-04-08,199.74,202.23,199.68,200.25
2010-04-09,200.44,200.74,197.62,197.82
2010-04-12,195.85,195.98,194.37,195.01
2010-04-13,195.1,195.4,193.41,193.5
2010-04-14,193.44,193.51,191.78,192.07
2010-04-15,192.06,195.1,191.91,193.76
2010-04-16,193.85,196.29,193.85,195.17
2010-04-19,195.0,197.98,195.0,196.44
2010-04-20,196.51,197.08,195.98,196.96
2010-04-21,196.96,197.97,196.14,197.12
2010-04-22,197.13,200.5,196.44,200.5
2010-04-23,200.24,200.88,196.75,197.16
2010-04-26,196.78,198.43,196.02,196.34
2010-04-27,196.49,205.41,196.49,204.75
2010-04-28,204.84,207.19,202.59,203.69
2010-04-29,203.95,204.28,200.57,200.66
2010-04-30,200.77,202.43,199.59,202.02
2010-05-03,202.4,205.42,201.95,204.32
2010-05-04,204.33,213.48,204.02,213.42
2010-05-05,213.35,217.94,211.96,217.25
2010-05-06,216.72,226.72,215.74,223.25
2010-05-07,223.65,224.56,218.14,219.25
2010-05-10,216.5,216.5,208.61,214.67
2010-05-11,214.68,218.23,213.6,217.84
2010-05-12,217.99,218.42,214.65,215.0
2010-05-13,214.5,218.66,214.26,218.58
2010-05-14,218.59,224.28,216.8,223.72
2010-05-17,224.14,227.51,223.5,223.8
2010-05-18,224.77,229.91,222.7,229.72
2010-05-19,229.76,231.37,225.45,225.5
2010-05-20,226.5,230.53,222.18,224.5
2010-05-21,223.5,225.09,221.04,222.5
2010-05-24,222.14,225.87,221.72,225.0
2010-05-25,226.0,231.01,225.5,225.5
2010-05-26,227.5,229.23,224.97,229.2
2010-05-27,227.0,227.38,221.95,222.15
2010-05-28,222.18,224.9,219.12,224.0
2010-05-31,223.5,224.31,222.19,223.54
2010-06-01,224.25,228.56,222.68,226.86
2010-06-02,225.63,226.88,224.72,224.83
2010-06-03,224.75,232.33,222.32,232.14
2010-06-04,232.2,242.31,229.38,240.5
2010-06-07,241.07,242.95,236.67,241.2
2010-06-08,239.0,240.36,235.17,236.0
2010-06-09,237.5,237.5,232.76,235.31
2010-06-10,235.5,236.03,229.21,230.14
2010-06-11,229.36,233.91,229.14,231.5
2010-06-14,231.16,231.34,226.53,228.58
2010-06-15,228.32,230.53,225.87,226.28
2010-06-16,226.83,229.41,225.01,227.2
2010-06-17,227.81,229.85,224.49,226.18
2010-06-18,225.8,227.43,224.95,225.0
2010-06-21,222.5,227.82,221.5,227.47
2010-06-22,226.0,228.79,226.0,228.1
2010-06-23,228.42,230.3,227.08,227.5
2010-06-24,227.43,231.46,226.6,229.0
2010-06-25,229.98,233.08,228.52,229.0
2010-06-28,228.68,233.11,228.27,232.6
2010-06-29,232.66,237.0,232.56,235.84
2010-06-30,235.69,236.07,231.6,233.34
2010-07-01,233.5,235.33,228.23,228.44
2010-07-02,228.47,229.18,225.72,228.45
2010-07-05,228.3,228.77,226.67,227.87
2010-07-06,227.89,227.97,224.32,225.54
2010-07-07,225.59,227.11,223.51,223.89
2010-07-08,223.9,224.08,220.32,220.96
2010-07-09,221.29,222.62,220.13,221.11
2010-07-12,220.91,223.02,220.86,221.09
2010-07-13,220.84,222.63,218.11,218.27
2010-07-14,218.42,219.53,217.44,218.27
2010-07-15,218.5,219.17,215.5,216.0
2010-07-16,216.7,218.44,215.84,218.21
2010-07-19,224.31,225.08,221.56,224.05
2010-07-20,223.0,226.23,221.77,222.37
2010-07-21,222.5,224.52,221.27,224.09
2010-07-22,222.5,224.62,219.36,220.03
2010-07-23,219.58,224.92,219.53,222.6
2010-07-26,222.7,222.86,219.94,220.66
2010-07-27,220.5,220.52,217.04,217.5
2010-07-28,217.89,218.86,216.31,218.02
2010-07-29,218.0,218.17,215.64,217.54
2010-07-30,217.66,220.78,217.04,217.8
2010-08-02,217.0,217.17,212.73,213.14
2010-08-03,213.23,214.27,211.83,212.84
2010-08-04,212.98,214.28,212.36,213.6
2010-08-05,213.7,214.44,211.2,212.39
2010-08-06,212.28,212.32,209.12,210.72
2010-08-09,210.73,211.01,209.82,210.5
2010-08-10,210.85,214.01,210.64,211.77
2010-08-11,212.07,219.2,212.02,219.16
2010-08-12,218.75,220.93,217.59,218.62
2010-08-13,218.58,220.55,216.12,220.36
2010-08-16,220.17,220.63,217.34,217.95
2010-08-17,218.78,218.89,215.74,216.04
2010-08-18,216.26,217.8,214.42,215.76
2010-08-19,216.5,217.84,214.67,217.19
2010-08-20,217.5,220.76,216.57,218.96
2010-08-23,219.5,223.69,219.16,223.49
2010-08-24,223.38,227.02,222.27,223.85
2010-08-25,223.5,226.0,221.17,224.56
2010-08-26,224.5,224.5,221.4,223.55
2010-08-27,223.3,224.45,221.6,222.5
2010-08-30,222.38,225.93,222.13,225.62
2010-08-31,225.82,227.4,224.41,226.24
2010-09-01,226.5,226.59,221.52,221.99
2010-09-02,222.15,222.72,221.29,221.9
2010-09-03,221.94,222.31,220.03,220.42
2010-09-06,220.6,221.54,219.09,221.24
2010-09-07,223.56,227.09,223.3,227.07
2010-09-08,226.89,228.34,224.83,225.48
2010-09-09,225.43,227.26,222.95,224.18
2010-09-10,224.5,225.06,222.36,223.53
2010-09-13,222.0,222.41,219.64,219.85
2010-09-14,220.19,221.54,215.57,216.54
2010-09-15,216.53,217.61,215.82,216.84
2010-09-16,216.92,217.59,214.94,216.32
2010-09-17,216.74,216.96,214.56,216.53
2010-09-20,216.19,216.21,214.06,214.83
2010-09-21,214.85,214.91,210.71,211.17
2010-09-22,210.0,210.84,207.33,208.67
2010-09-23,208.6,211.05,207.96,210.4
2010-09-24,210.65,210.81,205.41,205.5
2010-09-27,205.68,206.58,204.82,206.35
2010-09-28,206.5,207.99,203.45,203.91
2010-09-29,204.06,204.37,202.43,203.56
2010-09-30,203.49,204.78,202.06,202.68
2010-10-01,202.66,202.89,198.27,198.84
2010-10-04,199.0,200.45,198.36,200.12
2010-10-05,200.53,200.69,194.48,194.92
2010-10-06,194.92,196.06,194.08,194.66
2010-10-07,194.8,198.09,193.5,197.2
2010-10-08,197.04,198.97,196.35,197.33
2010-10-11,197.12,197.45,195.91,196.9
2010-10-12,197.25,199.31,196.58,196.66
2010-10-13,196.7,196.72,194.54,194.94
2010-10-14,194.51,195.92,192.15,194.9
2010-10-15,195.71,196.58,193.53,196.24
2010-10-18,196.9,200.32,196.68,198.03
2010-10-19,197.5,202.6,197.5,202.1
2010-10-20,202.16,202.3,197.33,198.06
2010-10-21,198.14,199.17,195.41,197.64
2010-10-22,198.0,199.03,196.62,197.38
2010-10-25,196.86,196.9,193.83,195.79
2010-10-26,195.75,198.84,195.19,198.18
2010-10-27,198.38,200.6,197.99,199.79
2010-10-28,199.73,199.73,195.94,196.33
2010-10-29,196.17,198.19,195.0,195.3
2010-11-01,194.29,195.45,193.25,194.8
2010-11-02,194.56,194.95,192.67,192.96
2010-11-03,192.99,194.75,192.32,192.49
2010-11-04,192.55,192.9,190.69,191.98
2010-11-05,191.87,195.7,191.79,195.24
2010-11-08,194.95,198.26,194.91,197.28
2010-11-09,198.08,199.7,195.93,199.01
2010-11-10,199.0,200.54,197.81,199.26
2010-11-11,199.41,203.28,198.48,202.57
2010-11-12,203.59,204.68,200.4,202.24
2010-11-15,202.0,204.05,200.97,204.01
2010-11-16,204.14,206.69,202.79,205.81
2010-11-17,205.58,207.03,203.67,204.23
2010-11-18,203.91,204.08,201.22,201.4
2010-11-19,201.17,201.84,199.54,200.0
2010-11-22,199.4,202.97,198.13,201.75
2010-11-23,202.21,206.79,201.88,206.49
2010-11-24,206.2,207.69,204.73,206.96
2010-11-25,206.61,208.83,206.13,207.61
2010-11-26,207.84,212.7,207.8,211.5
2010-11-29,211.5,217.35,210.05,216.01
2010-11-30,216.5,219.32,215.26,216.35
2010-12-01,216.02,216.4,212.41,213.17
2010-12-02,213.0,214.09,209.11,209.77
2010-12-03,210.2,210.71,206.26,206.34
2010-12-06,206.8,211.73,206.36,209.5
2010-12-07,209.88,210.06,207.33,209.92
2010-12-08,210.31,211.98,208.53,209.27
2010-12-09,209.29,211.27,207.89,210.46
2010-12-10,209.92,211.31,208.86,210.5
2010-12-13,211.49,211.54,206.03,206.9
2010-12-14,206.74,207.02,204.8,205.69
2010-12-15,206.08,208.73,205.29,208.7
2010-12-16,208.33,208.46,206.42,206.71
2010-12-17,206.7,208.15,204.78,206.88
2010-12-20,207.08,211.48,206.83,210.96
2010-12-21,211.01,211.5,208.75,211.26
2010-12-22,211.3,211.34,209.53,210.88
2010-12-23,210.64,213.31,209.76,211.93
2010-12-24,211.54,213.13,211.19,212.8
2010-12-27,212.5,212.85,211.31,212.07
2010-12-28,210.5,213.28,210.24,212.83
2010-12-29,213.35,213.36,211.11,211.45
2010-12-30,210.9,211.63,209.44,210.2
2010-12-31,210.0,210.2,207.27,208.0
2011-01-03,208.5,210.18,207.46,207.87
2011-01-04,208.07,208.59,205.36,207.4
2011-01-05,207.5,210.49,207.36,209.36
2011-01-06,209.8,212.61,209.33,212.57
2011-01-07,212.31,215.6,212.0,215.3
2011-01-10,215.25,217.8,214.85,215.93
2011-01-11,215.98,216.5,213.21,214.28
2011-01-12,214.09,214.26,209.42,209.55
2011-01-13,209.78,210.18,205.14,205.45
