date,open,high,low,close
2010-01-01,,,,
2010-01-04,9430.0,9430.0,9294.0,9345.0
2010-01-05,9345.0,9345.0,9280.0,9315.0
2010-01-06,9315.0,9315.0,9201.0,9230.0
2010-01-07,9230.0,9250.0,9200.0,9235.0
2010-01-08,9235.0,9255.0,9181.0,9210.0
2010-01-11,9180.0,9180.0,9125.0,9155.0
2010-01-12,9160.0,9195.0,9144.0,9175.0
2010-01-13,9175.0,9208.0,9160.0,9175.0
2010-01-14,9163.0,9175.0,9150.0,9158.0
2010-01-15,9160.0,9200.0,9158.0,9185.0
2010-01-18,9190.0,9235.0,9190.0,9225.0
2010-01-19,9225.0,9236.0,9213.0,9225.0
2010-01-20,9256.0,9315.0,9255.0,9290.0
2010-01-21,9311.0,9330.0,9275.0,9283.0
2010-01-22,9285.0,9305.0,9280.0,9305.0
2010-01-25,9305.0,9315.0,9300.0,9310.0
2010-01-26,9310.0,9380.0,9305.0,9380.0
2010-01-27,9375.0,9445.0,9375.0,9395.0
2010-01-28,9395.0,9420.0,9320.0,9323.0
2010-01-29,9323.0,9350.0,9320.0,9350.0
2010-02-01,9350.0,9380.0,9350.0,9380.0
2010-02-02,9380.0,9380.0,9349.0,9355.0
2010-02-03,9350.0,9355.0,9280.0,9288.0
2010-02-04,9285.0,9335.0,9280.0,9318.0
2010-02-05,9318.0,9385.0,9318.0,9383.0
2010-02-08,9385.0,9435.0,9383.0,9395.0
2010-02-09,9393.0,9396.0,9350.0,9355.0
2010-02-10,9345.0,9369.0,9345.0,9355.0
2010-02-11,9355.0,9379.0,9355.0,9370.0
2010-02-12,9370.0,9375.0,9335.0,9335.0
2010-02-15,9335.0,9350.0,9335.0,9350.0
2010-02-16,9345.0,9345.0,9295.0,9295.0
2010-02-17,9285.0,9295.0,9265.0,9268.0
2010-02-18,9275.0,9315.0,9265.0,9290.0
2010-02-19,9305.0,9310.0,9290.0,9310.0
2010-02-22,9315.0,9315.0,9275.0,9285.0
2010-02-23,9290.0,9290.0,9280.0,9285.0
2010-02-24,9316.0,9335.0,9285.0,9305.0
2010-02-25,9335.0,9355.0,9325.0,9328.0
2010-02-26,9330.0,9335.0,9325.0,9330.0
2010-03-01,9311.0,9317.0,9255.0,9255.0
2010-03-02,9255.0,9290.0,9255.0,9290.0
2010-03-03,9275.0,9290.0,9264.0,9275.0
2010-03-04,9270.0,9279.0,9255.0,9260.0
2010-03-05,9270.0,9278.0,9215.0,9233.0
2010-03-08,9235.0,9235.0,9173.0,9175.0
2010-03-09,9195.0,9196.0,9175.0,9195.0
2010-03-10,9190.0,9195.0,9170.0,9170.0
