date,open,high,low,close
2010-01-01,46.62,46.66,46.6,46.62
2010-01-04,46.51,46.52,46.23,46.29
2010-01-05,46.3,46.34,46.09,46.14
2010-01-06,46.15,46.2,45.65,45.73
2010-01-07,45.65,45.88,45.57,45.71
2010-01-08,45.7,45.87,45.48,45.48
2010-01-11,45.48,45.48,45.24,45.44
2010-01-12,45.42,45.73,45.36,45.62
2010-01-13,45.59,45.75,45.46,45.54
2010-01-14,45.51,45.71,45.44,45.65
2010-01-15,45.65,45.73,45.61,45.73
2010-01-18,45.72,45.81,45.55,45.65
2010-01-19,45.63,45.98,45.53,45.83
2010-01-20,45.81,46.16,45.76,46.13
2010-01-21,46.1,46.25,45.92,46.25
2010-01-22,46.25,46.41,46.04,46.23
2010-01-25,46.16,46.24,46.09,46.18
2010-01-26,46.33,46.58,46.28,46.36
2010-01-27,46.36,46.57,46.24,46.43
2010-01-28,46.37,46.42,46.19,46.4
2010-01-29,46.42,46.45,46.13,46.29
2010-02-01,46.34,46.44,46.17,46.19
2010-02-02,46.19,46.3,46.07,46.13
2010-02-03,46.13,46.13,45.92,46.08
2010-02-04,46.05,46.64,46.04,46.63
2010-02-05,46.63,46.96,46.51,46.73
2010-02-08,46.74,46.87,46.67,46.73
2010-02-09,46.74,46.74,46.42,46.43
2010-02-10,46.43,46.6,46.39,46.42
2010-02-11,46.41,46.53,46.34,46.38
2010-02-12,46.43,46.57,46.2,46.41
2010-02-15,46.43,46.43,46.29,46.34
2010-02-16,46.28,46.28,46.0,46.02
2010-02-17,46.02,46.16,45.96,46.15
2010-02-18,46.21,46.32,46.18,46.29
2010-02-19,46.42,46.48,46.18,46.18
2010-02-22,46.16,46.26,46.12,46.18
2010-02-23,46.17,46.23,46.07,46.23
2010-02-24,46.23,46.32,46.22,46.28
2010-02-25,46.3,46.42,46.3,46.31
2010-02-26,46.27,46.31,46.03,46.06
2010-03-01,46.06,46.14,45.93,46.03
2010-03-02,46.01,46.08,45.92,45.93
2010-03-03,45.86,45.91,45.77,45.78
2010-03-04,45.78,45.88,45.78,45.83
2010-03-05,45.8,45.83,45.45,45.53
2010-03-08,45.52,45.54,45.39,45.48
2010-03-09,45.48,45.63,45.48,45.58
2010-03-10,45.53,45.53,45.33,45.41
2010-03-11,45.44,45.64,45.44,45.48
2010-03-12,45.48,45.53,45.38,45.46
2010-03-15,45.46,45.67,45.46,45.63
2010-03-16,45.64,45.66,45.52,45.55
2010-03-17,45.46,45.46,45.3,45.4
2010-03-18,45.38,45.54,45.32,45.48
2010-03-19,45.45,45.52,45.33,45.48
2010-03-22,45.49,45.64,45.48,45.54
2010-03-23,45.53,45.62,45.43,45.48
2010-03-24,45.43,45.45,45.33,45.43
2010-03-25,45.38,45.71,45.37,45.51
2010-03-26,45.53,45.53,45.12,45.13
2010-03-29,45.12,45.14,44.87,44.88
2010-03-30,44.85,45.13,44.85,45.05
2010-03-31,45.05,45.18,44.81,44.9
2010-04-01,44.92,44.94,44.72,44.74
2010-04-02,44.75,44.75,44.65,44.68
2010-04-05,44.67,44.79,44.4,44.42
2010-04-06,44.44,44.56,44.36,44.38
2010-04-07,44.37,44.59,44.33,44.48
2010-04-08,44.47,44.7,44.37,44.42
2010-04-09,44.4,44.45,44.19,44.2
2010-04-12,44.18,44.5,44.18,44.48
2010-04-13,44.44,44.67,44.39,44.48
2010-04-14,44.29,44.3,44.18,44.18
2010-04-15,44.35,44.45,44.32,44.45
2010-04-16,44.45,44.45,44.37,44.38
2010-04-19,44.53,44.75,44.53,44.59
2010-04-20,44.53,44.63,44.42,44.43
2010-04-21,44.37,44.54,44.37,44.53
2010-04-22,44.53,44.6,44.44,44.55
2010-04-23,44.55,44.58,44.37,44.42
2010-04-26,44.41,44.44,44.29,44.4
2010-04-27,44.38,44.65,44.38,44.63
2010-04-28,44.59,44.75,44.55,44.59
2010-04-29,44.57,44.63,44.42,44.48
2010-04-30,44.44,44.47,44.3,44.38
2010-05-03,44.38,44.6,44.38,44.48
2010-05-04,44.48,45.11,44.48,45.05
2010-05-05,44.95,45.35,44.84,45.3
2010-05-06,45.3,45.83,45.09,45.66
2010-05-07,45.65,45.85,45.47,45.58
2010-05-10,45.27,45.27,44.81,44.93
2010-05-11,44.74,45.34,44.67,45.1
2010-05-12,45.1,45.37,44.93,44.98
2010-05-13,44.93,45.15,44.89,45.08
2010-05-14,45.06,45.56,45.04,45.53
2010-05-17,45.62,45.88,45.56,45.72
2010-05-18,45.69,45.8,45.48,45.8
2010-05-19,45.78,46.63,45.78,46.37
2010-05-20,46.34,47.37,46.21,47.12
2010-05-21,47.12,47.33,46.77,46.93
2010-05-24,46.92,47.04,46.6,46.93
2010-05-25,47.14,47.75,47.14,47.52
2010-05-26,47.46,47.59,47.08,47.33
2010-05-27,47.32,47.32,46.64,46.7
2010-05-28,46.7,46.75,46.32,46.53
2010-05-31,46.53,46.59,46.36,46.37
2010-06-01,46.4,47.21,46.4,47.11
2010-06-02,47.09,47.27,46.87,46.87
2010-06-03,46.8,46.89,46.47,46.66
