date,open,high,low,close
2010-01-01,93.05,93.05,93.03,93.03
2010-01-04,92.98,93.21,92.21,92.52
2010-01-05,92.53,92.55,91.26,91.72
2010-01-06,91.72,92.74,91.54,92.32
2010-01-07,92.33,93.41,92.12,93.33
2010-01-08,93.34,93.75,92.29,92.69
2010-01-11,92.61,92.65,91.83,92.08
2010-01-12,92.07,92.43,90.76,90.99
2010-01-13,91.01,91.55,90.92,91.38
2010-01-14,91.38,92.03,90.86,91.22
2010-01-15,91.22,91.31,90.61,90.79
2010-01-18,90.77,91.06,90.64,90.78
2010-01-19,90.78,91.26,90.34,91.15
2010-01-20,91.14,91.46,90.79,91.23
2010-01-21,91.23,91.87,90.12,90.42
2010-01-22,90.41,90.55,89.79,89.84
2010-01-25,90.2,90.33,89.84,90.28
2010-01-26,90.28,90.54,89.36,89.67
2010-01-27,89.68,90.07,89.15,90.0
2010-01-28,89.99,90.55,89.63,89.91
2010-01-29,89.92,90.93,89.59,90.26
2010-02-01,90.0,90.93,90.0,90.62
2010-02-02,90.62,90.91,90.29,90.38
2010-02-03,90.38,91.28,90.09,90.99
2010-02-04,90.99,91.07,88.56,89.02
2010-02-05,89.0,89.88,88.85,89.24
2010-02-08,89.32,89.56,89.15,89.26
2010-02-09,89.26,89.81,89.18,89.69
2010-02-10,89.72,90.07,89.26,89.96
2010-02-11,89.97,90.14,89.59,89.78
2010-02-12,89.76,90.41,89.6,89.96
2010-02-15,90.07,90.23,89.91,90.01
2010-02-16,90.01,90.52,89.71,90.14
2010-02-17,90.15,91.37,90.15,91.25
2010-02-18,91.26,91.81,90.57,91.81
2010-02-19,91.79,92.15,91.51,91.52
2010-02-22,91.5,91.87,91.03,91.14
2010-02-23,91.13,91.28,89.93,90.22
2010-02-24,90.22,90.36,89.77,90.15
2010-02-25,90.15,90.31,88.82,89.07
2010-02-26,89.08,89.49,88.75,88.96
2010-03-01,88.88,89.47,88.84,89.13
2010-03-02,89.13,89.38,88.56,88.85
2010-03-03,88.85,89.0,88.34,88.45
2010-03-04,88.46,89.24,88.13,89.03
2010-03-05,89.03,90.58,88.99,90.25
2010-03-08,90.39,90.68,90.17,90.32
2010-03-09,90.32,90.33,89.65,89.96
2010-03-10,89.95,90.81,89.86,90.52
2010-03-11,90.5,90.7,90.22,90.52
2010-03-12,90.51,91.07,90.18,90.58
2010-03-15,90.59,90.79,90.37,90.49
2010-03-16,90.54,90.73,89.99,90.32
2010-03-17,90.31,90.71,90.03,90.31
2010-03-18,90.3,90.8,89.76,90.39
2010-03-19,90.41,90.7,90.35,90.55
2010-03-22,90.51,90.78,89.83,90.13
2010-03-23,90.13,90.48,90.07,90.4
2010-03-24,90.42,92.38,90.36,92.29
2010-03-25,92.28,92.94,91.77,92.72
2010-03-26,92.73,92.89,92.32,92.52
