date,open,high,low,close
2010-01-01,,,,
2010-01-04,13.089,13.092,12.863,12.875
2010-01-05,12.874,12.892,12.776,12.813
2010-01-06,12.813,12.843,12.719,12.743
2010-01-07,12.743,12.802,12.731,12.769
2010-01-08,12.761,12.807,12.681,12.7
2010-01-11,12.681,12.781,12.577,12.741
2010-01-12,12.742,12.82,12.692,12.804
2010-01-13,12.807,12.815,12.702,12.714
2010-01-14,12.712,12.776,12.663,12.673
2010-01-15,12.673,12.736,12.658,12.688
2010-01-18,12.726,12.735,12.648,12.661
2010-01-19,12.658,12.737,12.619,12.642
2010-01-20,12.643,12.782,12.637,12.758
2010-01-21,12.756,12.966,12.686,12.948
2010-01-22,12.953,13.012,12.912,12.975
2010-01-25,12.943,12.943,12.849,12.861
2010-01-26,12.859,12.971,12.802,12.873
2010-01-27,12.871,13.005,12.82,12.95
2010-01-28,12.944,13.083,12.891,13.053
2010-01-29,13.062,13.103,12.944,13.095
2010-02-01,13.075,13.089,12.869,12.878
2010-02-02,12.882,12.939,12.841,12.876
2010-02-03,12.876,12.978,12.832,12.95
2010-02-04,12.95,13.174,12.945,13.156
2010-02-05,13.151,13.251,13.106,13.136
2010-02-08,13.169,13.242,13.114,13.215
2010-02-09,13.23,13.235,12.991,12.991
2010-02-10,12.995,13.134,12.98,13.13
2010-02-11,13.12,13.131,12.933,12.935
2010-02-12,12.94,13.057,12.92,12.94
2010-02-15,12.928,12.973,12.915,12.937
2010-02-16,12.941,12.941,12.837,12.854
2010-02-17,12.861,12.906,12.816,12.89
2010-02-18,12.886,12.904,12.81,12.887
2010-02-19,12.903,12.926,12.787,12.808
2010-02-22,12.797,12.825,12.75,12.806
2010-02-23,12.807,12.935,12.772,12.927
2010-02-24,12.922,12.929,12.804,12.807
2010-02-25,12.809,12.891,12.788,12.802
2010-02-26,12.798,12.815,12.741,12.778
2010-03-01,12.773,12.776,12.732,12.745
2010-03-02,12.742,12.758,12.696,12.724
2010-03-03,12.724,12.734,12.68,12.704
2010-03-04,12.705,12.734,12.688,12.716
