date,open,high,low,close
2010-01-01,5.7909,5.791,5.7874,5.791
2010-01-04,5.8005,5.8081,5.6799,5.7118
2010-01-05,5.7121,5.7256,5.679,5.7168
2010-01-06,5.7169,5.7492,5.6581,5.6649
2010-01-07,5.6632,5.7324,5.6522,5.712
2010-01-08,5.7117,5.7311,5.6571,5.6685
2010-01-11,5.6569,5.6664,5.5982,5.6085
2010-01-12,5.6077,5.6642,5.6065,5.6631
2010-01-13,5.6625,5.6796,5.6062,5.6402
2010-01-14,5.6411,5.6518,5.6199,5.6304
2010-01-15,5.631,5.6953,5.6278,5.6792
2010-01-18,5.6919,5.6968,5.651,5.6532
2010-01-19,5.6533,5.7177,5.6429,5.6865
2010-01-20,5.6865,5.7859,5.684,5.7798
2010-01-21,5.7798,5.8244,5.7682,5.8222
2010-01-22,5.822,5.8281,5.7746,5.8066
2010-01-25,5.7936,5.8201,5.7793,5.8116
2010-01-26,5.8114,5.8734,5.7949,5.8385
2010-01-27,5.8386,5.8778,5.8329,5.8531
2010-01-28,5.8536,5.8952,5.826,5.8937
2010-01-29,5.8941,5.9279,5.8569,5.9271
2010-02-01,5.9259,5.9312,5.8604,5.8629
2010-02-02,5.863,5.8742,5.8328,5.8347
2010-02-03,5.8343,5.8765,5.811,5.8719
2010-02-04,5.8712,5.9738,5.8673,5.9713
2010-02-05,5.9703,6.0438,5.9537,5.983
2010-02-08,5.9897,6.006,5.9428,5.983
2010-02-09,5.9823,5.9878,5.8821,5.8976
2010-02-10,5.8984,5.9446,5.8648,5.9092
2010-02-11,5.9077,5.951,5.8717,5.8874
2010-02-12,5.8872,5.9779,5.8862,5.9038
2010-02-15,5.9148,5.9366,5.9134,5.9199
2010-02-16,5.9202,5.9233,5.8482,5.8521
2010-02-17,5.8525,5.8957,5.8312,5.882
2010-02-18,5.8832,5.9638,5.8812,5.9608
2010-02-19,5.9574,6.0175,5.9361,5.9404
2010-02-22,5.933,5.9479,5.8911,5.9109
2010-02-23,5.9098,5.9622,5.8555,5.9574
2010-02-24,5.9564,5.9593,5.896,5.9347
2010-02-25,5.9336,5.9925,5.9299,5.9364
2010-02-26,5.9366,5.9461,5.8912,5.9099
2010-03-01,5.9095,5.9749,5.8969,5.9371
2010-03-02,5.937,6.0083,5.9149,5.9264
2010-03-03,5.9266,5.9532,5.8573,5.8794
2010-03-04,5.8794,5.9489,5.8741,5.9271
2010-03-05,5.927,5.9457,5.8875,5.8956
2010-03-08,5.8948,5.9075,5.861,5.8914
2010-03-09,5.8935,5.9451,5.8917,5.9016
