date,open,high,low,close
2010-01-01,2.8499,2.85,2.8499,2.8499
2010-01-04,2.8747,2.8858,2.8255,2.8306
2010-01-05,2.8298,2.8544,2.8102,2.852
2010-01-06,2.85,2.8709,2.8347,2.8418
2010-01-07,2.8405,2.8839,2.8321,2.8702
2010-01-08,2.869,2.8805,2.8192,2.8199
2010-01-11,2.8102,2.8102,2.7853,2.8012
2010-01-12,2.803,2.828,2.7951,2.8115
2010-01-13,2.8144,2.8196,2.7741,2.794
2010-01-14,2.7919,2.8089,2.7772,2.7916
2010-01-15,2.7927,2.8291,2.7919,2.8158
2010-01-18,2.8141,2.8223,2.7883,2.7887
2010-01-19,2.7893,2.8294,2.7812,2.8038
2010-01-20,2.8041,2.8809,2.803,2.8709
2010-01-21,2.8691,2.9091,2.8604,2.906
2010-01-22,2.9036,2.9125,2.8735,2.8975
2010-01-25,2.8884,2.8992,2.859,2.8782
2010-01-26,2.8772,2.9176,2.8711,2.8953
2010-01-27,2.8951,2.9299,2.8919,2.9197
2010-01-28,2.9178,2.9327,2.8925,2.924
2010-01-29,2.9217,2.9348,2.8913,2.9243
2010-02-01,2.9126,2.9226,2.8552,2.8603
2010-02-02,2.8615,2.8697,2.844,2.8461
2010-02-03,2.8443,2.8902,2.8272,2.8816
2010-02-04,2.886,2.9742,2.8822,2.9696
2010-02-05,2.9679,3.0339,2.9563,3.0005
2010-02-08,2.9979,3.018,2.9713,3.0112
2010-02-09,3.0123,3.0131,2.9294,2.9441
2010-02-10,2.9465,2.9776,2.9311,2.9571
2010-02-11,2.9563,2.9684,2.9254,2.9333
2010-02-12,2.9319,2.9837,2.9247,2.949
2010-02-15,2.9529,2.9681,2.9455,2.9629
2010-02-16,2.9636,2.9653,2.8888,2.8937
2010-02-17,2.8924,2.9321,2.8814,2.925
2010-02-18,2.9234,2.9733,2.9234,2.9688
2010-02-19,2.9736,2.9841,2.925,2.9313
2010-02-22,2.9215,2.9288,2.9029,2.9152
2010-02-23,2.9134,2.9653,2.8862,2.9602
2010-02-24,2.958,2.9659,2.9236,2.9349
2010-02-25,2.9355,2.9766,2.9312,2.939
2010-02-26,2.9396,2.9399,2.883,2.8964
2010-03-01,2.8955,2.9249,2.8819,2.8959
2010-03-02,2.8973,2.9249,2.8726,2.8782
2010-03-03,2.8768,2.8863,2.84,2.8481
2010-03-04,2.8493,2.8763,2.8457,2.8704
2010-03-05,2.8684,2.871,2.8402,2.8426
2010-03-08,2.8375,2.846,2.8242,2.8398
2010-03-09,2.841,2.8794,2.8372,2.8448
2010-03-10,2.8448,2.8635,2.8322,2.8446
2010-03-11,2.846,2.8694,2.8447,2.8498
2010-03-12,2.8494,2.8521,2.8195,2.8218
2010-03-15,2.8208,2.8564,2.8207,2.8468
2010-03-16,2.8469,2.8508,2.8046,2.8126
2010-03-17,2.8106,2.8196,2.7966,2.8139
2010-03-18,2.8144,2.8571,2.8135,2.8481
2010-03-19,2.849,2.8831,2.8437,2.8768
2010-03-22,2.8775,2.9159,2.8658,2.8682
2010-03-23,2.866,2.8987,2.865,2.8831
2010-03-24,2.8859,2.9239,2.8829,2.9164
2010-03-25,2.917,2.9425,2.8995,2.9343
2010-03-26,2.9272,2.9333,2.8986,2.9073
2010-03-29,2.8999,2.9091,2.8773,2.8794
2010-03-30,2.8777,2.8928,2.8645,2.8841
2010-03-31,2.8811,2.8906,2.8469,2.85
2010-04-01,2.845,2.8568,2.8277,2.8355
2010-04-02,2.835,2.8543,2.8329,2.852
2010-04-05,2.8443,2.8528,2.8357,2.8492
2010-04-06,2.855,2.8756,2.8502,2.8615
2010-04-07,2.8653,2.8819,2.8573,2.8713
2010-04-08,2.8718,2.9038,2.8716,2.8776
2010-04-09,2.8778,2.9055,2.8588,2.8681
2010-04-12,2.8491,2.8568,2.8356,2.8418
2010-04-13,2.843,2.8661,2.8416,2.8466
2010-04-14,2.8457,2.8468,2.8237,2.8259
2010-04-15,2.826,2.8607,2.8243,2.8445
2010-04-16,2.8458,2.8851,2.8458,2.8724
2010-04-19,2.882,2.9144,2.882,2.888
2010-04-20,2.8892,2.8963,2.8768,2.8936
2010-04-21,2.8935,2.9006,2.872,2.8883
2010-04-22,2.8884,2.9378,2.8798,2.9357
2010-04-23,2.9403,2.9423,2.8989,2.905
2010-04-26,2.9033,2.9198,2.8917,2.8956
2010-04-27,2.8978,2.9928,2.8978,2.9854
2010-04-28,2.9867,3.0109,2.9496,2.9635
2010-04-29,2.9655,2.9775,2.9424,2.9447
2010-04-30,2.9462,2.9596,2.9301,2.9488
2010-05-03,2.9628,2.9908,2.9512,2.969
2010-05-04,2.9761,3.1117,2.9712,3.1112
2010-05-05,3.11,3.1998,3.0837,3.18
2010-05-06,3.1771,3.3808,3.1731,3.325
2010-05-07,3.315,3.36,3.2147,3.2147
2010-05-10,3.174,3.1861,3.0443,3.145
2010-05-11,3.145,3.2059,3.1443,3.185
2010-05-12,3.185,3.2029,3.1212,3.1319
2010-05-13,3.125,3.1621,3.1102,3.1554
2010-05-14,3.155,3.2568,3.1394,3.24
2010-05-17,3.2841,3.2944,3.2295,3.245
2010-05-18,3.2565,3.3374,3.2108,3.325
2010-05-19,3.325,3.3651,3.29,3.305
2010-05-20,3.315,3.4112,3.2882,3.34
2010-05-21,3.315,3.3281,3.255,3.275
2010-05-24,3.2874,3.3323,3.2651,3.3266
2010-05-25,3.3275,3.4278,3.3257,3.3332
2010-05-26,3.3507,3.3974,3.3397,3.396
2010-05-27,3.385,3.3854,3.2707,3.2811
2010-05-28,3.285,3.3307,3.2502,3.325
2010-05-31,3.315,3.3291,3.3039,3.3119
2010-06-01,3.3325,3.4042,3.3097,3.365
2010-06-02,3.365,3.3804,3.335,3.335
2010-06-03,3.335,3.3951,3.2996,3.385
