date,open,high,low,close
2010-01-01,30.134,30.191,30.121,30.138
2010-01-04,30.265,30.325,29.895,29.97
2010-01-05,29.904,29.983,29.853,29.927
2010-01-06,29.928,29.928,29.849,29.873
2010-01-07,29.868,29.877,29.856,29.868
2010-01-08,29.868,29.873,29.822,29.868
2010-01-11,29.868,29.872,29.283,29.322
2010-01-12,29.333,29.592,29.293,29.529
2010-01-13,29.543,29.672,29.489,29.497
2010-01-14,29.593,29.593,29.361,29.443
2010-01-15,29.448,29.601,29.422,29.555
2010-01-18,29.556,29.661,29.525,29.581
2010-01-19,29.584,29.739,29.497,29.617
2010-01-20,29.617,29.781,29.608,29.758
2010-01-21,29.752,29.864,29.682,29.768
2010-01-22,29.756,29.897,29.7,29.866
2010-01-25,29.86,30.155,29.86,30.115
2010-01-26,30.118,30.442,30.085,30.35
2010-01-27,30.345,30.37,30.237,30.319
2010-01-28,30.318,30.403,30.257,30.377
2010-01-29,30.365,30.479,30.261,30.29
2010-02-01,30.388,30.449,30.285,30.296
2010-02-02,30.296,30.336,30.062,30.104
2010-02-03,30.055,30.16,29.823,30.016
2010-02-04,29.999,30.3,29.965,30.278
2010-02-05,30.178,30.549,30.171,30.362
2010-02-08,30.454,30.582,30.452,30.542
2010-02-09,30.532,30.549,30.321,30.389
2010-02-10,30.393,30.403,30.199,30.262
2010-02-11,30.274,30.278,30.11,30.173
2010-02-12,30.19,30.399,30.124,30.208
2010-02-15,30.236,30.28,30.195,30.229
2010-02-16,30.234,30.242,29.994,30.017
2010-02-17,30.01,30.141,29.943,30.13
2010-02-18,30.12,30.179,29.951,30.152
2010-02-19,30.176,30.214,29.905,29.94
2010-02-22,29.945,29.994,29.905,29.987
2010-02-23,29.984,29.998,29.98,29.988
2010-02-24,29.988,30.112,29.933,30.018
2010-02-25,30.023,30.13,29.991,30.026
2010-02-26,30.027,30.069,29.867,29.936
2010-03-01,29.938,30.038,29.859,29.924
2010-03-02,29.929,30.041,29.818,29.828
2010-03-03,29.82,29.881,29.736,29.773
2010-03-04,29.776,29.895,29.752,29.873
2010-03-05,29.863,29.88,29.753,29.763
2010-03-08,29.749,29.783,29.677,29.771
2010-03-09,29.774,29.819,29.709,29.734
2010-03-10,29.737,29.764,29.513,29.548
2010-03-11,29.557,29.583,29.45,29.458
2010-03-12,29.455,29.471,29.263,29.292
2010-03-15,29.273,29.463,29.268,29.435
2010-03-16,29.428,29.455,29.273,29.287
2010-03-17,29.288,29.302,29.126,29.175
2010-03-18,29.175,29.329,29.171,29.298
2010-03-19,29.303,29.341,29.242,29.339
2010-03-22,29.361,29.673,29.303,29.531
2010-03-23,29.52,29.585,29.401,29.574
2010-03-24,29.58,29.715,29.54,29.678
2010-03-25,29.681,29.727,29.496,29.592
2010-03-26,29.571,29.654,29.506,29.597
2010-03-29,29.555,29.679,29.484,29.49
2010-03-30,29.483,29.533,29.338,29.5
2010-03-31,29.489,29.548,29.401,29.435
2010-04-01,29.423,29.464,29.247,29.256
2010-04-02,29.265,29.285,29.198,29.25
2010-04-05,29.244,29.25,29.146,29.186
2010-04-06,29.22,29.376,29.22,29.326
2010-04-07,29.322,29.365,29.268,29.337
2010-04-08,29.32,29.482,29.31,29.403
2010-04-09,29.403,29.45,29.131,29.148
2010-04-12,29.136,29.138,28.919,29.009
2010-04-13,29.015,29.125,29.007,29.045
2010-04-14,29.044,29.068,28.918,28.944
2010-04-15,28.947,29.08,28.916,29.011
2010-04-16,29.019,29.101,28.991,29.077
2010-04-19,29.053,29.285,29.048,29.149
2010-04-20,29.139,29.2,29.081,29.153
2010-04-21,29.157,29.181,29.066,29.134
2010-04-22,29.133,29.341,29.108,29.341
2010-04-23,29.305,29.322,29.091,29.115
2010-04-26,29.134,29.151,29.012,29.023
2010-04-27,29.034,29.398,29.034,29.357
2010-04-28,29.366,29.453,29.278,29.354
2010-04-29,29.359,29.379,29.198,29.209
2010-04-30,29.217,29.263,29.104,29.209
2010-05-03,29.209,29.328,29.209,29.303
2010-05-04,29.302,29.627,29.277,29.614
2010-05-05,29.608,30.138,29.596,30.113
2010-05-06,30.117,30.744,30.052,30.677
2010-05-07,30.661,30.816,30.391,30.513
2010-05-10,30.43,30.55,30.248,30.499
2010-05-11,30.496,30.519,30.137,30.264
2010-05-12,30.264,30.329,29.919,30.003
2010-05-13,29.995,30.072,29.847,30.061
2010-05-14,30.047,30.355,30.023,30.347
2010-05-17,30.421,30.831,30.353,30.528
2010-05-18,30.549,30.634,30.234,30.557
2010-05-19,30.56,30.959,30.492,30.632
2010-05-20,30.676,31.531,30.663,31.459
2010-05-21,31.374,31.412,30.886,31.086
2010-05-24,31.138,31.207,30.78,31.071
2010-05-25,31.079,31.678,31.068,31.407
2010-05-26,31.458,31.537,31.071,31.215
2010-05-27,31.182,31.194,30.621,30.666
2010-05-28,30.652,30.789,30.382,30.782
2010-05-31,30.721,30.95,30.672,30.886
2010-06-01,30.939,31.383,30.904,31.094
2010-06-02,31.103,31.261,31.069,31.163
2010-06-03,31.159,31.169,30.84,31.159
2010-06-04,31.139,31.56,30.976,31.517
2010-06-07,31.57,31.871,31.57,31.853
2010-06-08,31.844,31.946,31.562,31.804
2010-06-09,31.81,31.855,31.574,31.687
2010-06-10,31.684,31.748,31.445,31.551
2010-06-11,31.545,31.64,31.384,31.558
2010-06-14,31.538,31.661,31.334,31.434
2010-06-15,31.411,31.5,31.253,31.287
2010-06-16,31.294,31.307,31.139,31.222
2010-06-17,31.224,31.277,30.905,30.944
2010-06-18,30.934,31.055,30.806,30.992
2010-06-21,30.944,30.973,30.683,30.839
2010-06-22,30.835,31.038,30.815,30.924
2010-06-23,30.928,31.127,30.902,30.998
2010-06-24,31.006,31.182,30.963,31.056
2010-06-25,31.055,31.257,30.974,30.993
2010-06-28,30.99,31.078,30.953,31.06
2010-06-29,31.052,31.346,31.048,31.329
2010-06-30,31.332,31.355,31.147,31.268
2010-07-01,31.276,31.405,31.024,31.029
2010-07-02,31.035,31.269,31.025,31.093
2010-07-05,31.116,31.18,31.093,31.146
2010-07-06,31.184,31.221,30.952,30.993
2010-07-07,30.995,31.16,30.988,31.026
2010-07-08,31.026,31.026,30.818,30.843
2010-07-09,30.844,30.927,30.747,30.885
2010-07-12,30.875,30.927,30.768,30.785
2010-07-13,30.762,30.881,30.567,30.588
2010-07-14,30.598,30.628,30.505,30.557
2010-07-15,30.57,30.596,30.354,30.394
2010-07-16,30.4,30.523,30.369,30.523
2010-07-19,30.563,30.621,30.473,30.515
2010-07-20,30.527,30.574,30.376,30.492
2010-07-21,30.476,30.54,30.379,30.519
2010-07-22,30.509,30.568,30.324,30.363
2010-07-23,30.352,30.463,30.309,30.343
2010-07-26,30.315,30.355,30.212,30.275
2010-07-27,30.239,30.282,30.175,30.217
2010-07-28,30.233,30.275,30.191,30.249
2010-07-29,30.233,30.262,30.129,30.164
2010-07-30,30.186,30.322,30.171,30.267
2010-08-02,30.255,30.255,29.96,30.011
2010-08-03,29.985,30.035,29.678,29.747
2010-08-04,29.749,29.899,29.72,29.821
2010-08-05,29.823,29.901,29.778,29.847
2010-08-06,29.855,29.874,29.729,29.75
2010-08-09,29.765,29.947,29.755,29.925
2010-08-10,29.912,30.134,29.89,30.024
2010-08-11,30.049,30.494,29.962,30.465
2010-08-12,30.465,30.655,30.374,30.602
2010-08-13,30.571,30.613,30.401,30.611
2010-08-16,30.553,30.631,30.458,30.515
2010-08-17,30.526,30.534,30.34,30.407
2010-08-18,30.435,30.467,30.348,30.44
2010-08-19,30.503,30.548,30.397,30.498
2010-08-20,30.514,30.686,30.483,30.645
2010-08-23,30.648,30.713,30.576,30.706
2010-08-24,30.726,30.944,30.705,30.87
2010-08-25,30.866,30.981,30.807,30.932
2010-08-26,30.924,30.946,30.672,30.727
2010-08-27,30.742,30.753,30.636,30.669
2010-08-30,30.665,30.795,30.616,30.79
2010-08-31,30.802,30.896,30.741,30.829
2010-09-01,30.843,30.856,30.692,30.742
2010-09-02,30.742,30.777,30.655,30.7
2010-09-03,30.716,30.722,30.584,30.586
2010-09-06,30.597,30.645,30.561,30.622
2010-09-07,30.692,30.931,30.689,30.915
2010-09-08,30.901,30.958,30.809,30.855
2010-09-09,30.847,30.925,30.809,30.883
2010-09-10,30.914,30.957,30.845,30.939
2010-09-13,30.91,30.914,30.642,30.654
2010-09-14,30.676,30.813,30.542,30.603
2010-09-15,30.589,30.998,30.55,30.96
2010-09-16,30.963,31.365,30.884,31.232
2010-09-17,31.245,31.252,30.943,30.952
2010-09-20,30.97,31.117,30.92,31.097
2010-09-21,31.09,31.127,30.88,30.905
2010-09-22,30.877,31.061,30.829,31.002
2010-09-23,31.01,31.077,30.852,31.039
2010-09-24,31.062,31.08,30.738,30.783
2010-09-27,30.755,30.767,30.507,30.569
2010-09-28,30.586,30.642,30.377,30.391
2010-09-29,30.4,30.447,30.369,30.423
2010-09-30,30.422,30.651,30.399,30.59
2010-10-01,30.589,30.589,30.411,30.415
2010-10-04,30.442,30.562,30.425,30.483
2010-10-05,30.513,30.526,30.0,30.032
2010-10-06,30.001,30.05,29.765,29.802
2010-10-07,29.813,29.885,29.582,29.846
2010-10-08,29.838,30.03,29.791,29.878
2010-10-11,29.864,29.94,29.77,29.924
2010-10-12,29.943,30.244,29.925,30.01
2010-10-13,30.004,30.223,29.939,30.104
2010-10-14,30.079,30.107,29.886,30.052
2010-10-15,30.118,30.375,30.077,30.341
2010-10-18,30.373,30.61,30.353,30.423
2010-10-19,30.403,30.755,30.363,30.726
2010-10-20,30.762,30.897,30.654,30.686
