date,open,high,low,close
2010-01-01,7.1484,7.1566,7.1484,7.1514
2010-01-04,7.1541,7.1739,7.0238,7.0511
2010-01-05,7.0524,7.1216,7.0153,7.1061
2010-01-06,7.106,7.1788,7.0549,7.0732
2010-01-07,7.0747,7.1391,7.0576,7.1285
2010-01-08,7.1287,7.1667,7.0697,7.0734
2010-01-11,7.0777,7.0918,7.0099,7.0299
2010-01-12,7.0288,7.0829,7.0288,7.0568
2010-01-13,7.0559,7.0799,6.9936,7.0207
2010-01-14,7.021,7.0495,6.9967,7.0084
2010-01-15,7.0087,7.0895,7.0029,7.0628
2010-01-18,7.0751,7.0797,7.0224,7.0268
2010-01-19,7.0265,7.1158,7.0044,7.0592
2010-01-20,7.0589,7.2018,7.0536,7.1949
2010-01-21,7.1961,7.2495,7.1696,7.2454
2010-01-22,7.2455,7.267,7.1836,7.2333
2010-01-25,7.2121,7.2447,7.1817,7.2301
2010-01-26,7.2311,7.3139,7.2218,7.2764
2010-01-27,7.2737,7.3242,7.2644,7.2974
2010-01-28,7.2982,7.356,7.262,7.3402
2010-01-29,7.3408,7.3907,7.3179,7.3861
2010-02-01,7.3884,7.395,7.256,7.2572
2010-02-02,7.2582,7.2808,7.2272,7.2278
2010-02-03,7.2272,7.2835,7.1836,7.2627
2010-02-04,7.2634,7.4402,7.2614,7.4402
2010-02-05,7.4403,7.5194,7.4233,7.4408
2010-02-08,7.4537,7.4772,7.3931,7.4416
2010-02-09,7.4392,7.4502,7.2974,7.3202
2010-02-10,7.3213,7.3568,7.2568,7.3012
2010-02-11,7.2997,7.3127,7.2285,7.2308
2010-02-12,7.2303,7.3424,7.2125,7.2465
2010-02-15,7.2605,7.2846,7.2381,7.2427
2010-02-16,7.243,7.2502,7.1726,7.1814
2010-02-17,7.1814,7.2239,7.1443,7.212
2010-02-18,7.2134,7.2485,7.1838,7.2382
2010-02-19,7.2348,7.3172,7.2122,7.2134
2010-02-22,7.2112,7.2431,7.189,7.1976
2010-02-23,7.196,7.2745,7.1318,7.2657
2010-02-24,7.2642,7.2722,7.1755,7.2094
2010-02-25,7.2092,7.2814,7.1806,7.1854
2010-02-26,7.1854,7.1942,7.0945,7.1206
2010-03-01,7.109,7.2447,7.0961,7.1756
2010-03-02,7.176,7.2456,7.158,7.1739
2010-03-03,7.1739,7.2189,7.1184,7.1429
