date,open,high,low,close
2010-01-01,1.4045,1.405,1.4044,1.405
2010-01-04,1.405,1.407,1.3966,1.3985
2010-01-05,1.3984,1.3987,1.3932,1.3973
2010-01-06,1.3974,1.3986,1.3935,1.3953
2010-01-07,1.3951,1.3985,1.3917,1.3985
2010-01-08,1.3985,1.4001,1.3938,1.3947
2010-01-11,1.3949,1.3949,1.3872,1.3876
2010-01-12,1.3877,1.3928,1.3874,1.3907
2010-01-13,1.3907,1.3927,1.3874,1.3894
2010-01-14,1.3893,1.3894,1.385,1.3876
2010-01-15,1.3874,1.3916,1.3872,1.3908
2010-01-18,1.3909,1.3923,1.3882,1.3896
2010-01-19,1.3893,1.3926,1.3868,1.3914
2010-01-20,1.3912,1.4011,1.3902,1.4011
2010-01-21,1.4011,1.4048,1.3974,1.4048
2010-01-22,1.4049,1.4067,1.3996,1.4047
2010-01-25,1.4042,1.4045,1.3982,1.3986
2010-01-26,1.3985,1.4068,1.3964,1.4037
2010-01-27,1.4037,1.4069,1.402,1.4046
2010-01-28,1.4046,1.4069,1.4007,1.4048
2010-01-29,1.4048,1.4082,1.4032,1.4073
2010-02-01,1.408,1.4138,1.4076,1.4098
2010-02-02,1.4098,1.4131,1.4082,1.4088
2010-02-03,1.4088,1.413,1.406,1.4128
2010-02-04,1.4128,1.4223,1.4108,1.4215
2010-02-05,1.4216,1.424,1.4194,1.4223
2010-02-08,1.4224,1.4243,1.4186,1.424
2010-02-09,1.424,1.4244,1.4157,1.4169
2010-02-10,1.4169,1.4196,1.415,1.418
2010-02-11,1.418,1.4183,1.4102,1.4124
2010-02-12,1.4124,1.4168,1.4107,1.4117
2010-02-15,1.4131,1.4135,1.4105,1.4132
2010-02-16,1.4126,1.4127,1.4041,1.4046
2010-02-17,1.4046,1.4076,1.4015,1.4072
2010-02-18,1.407,1.4113,1.4053,1.4108
2010-02-19,1.411,1.417,1.411,1.4119
2010-02-22,1.4114,1.4117,1.4072,1.4099
2010-02-23,1.4099,1.4118,1.4044,1.4104
2010-02-24,1.4104,1.4123,1.4083,1.4103
2010-02-25,1.4103,1.4131,1.4086,1.409
2010-02-26,1.4089,1.4094,1.4047,1.4062
2010-03-01,1.4062,1.4074,1.4034,1.4058
2010-03-02,1.4058,1.4071,1.4022,1.4031
2010-03-03,1.4031,1.4033,1.3988,1.3994
2010-03-04,1.3994,1.4014,1.3974,1.4014
2010-03-05,1.4014,1.4024,1.3984,1.4015
2010-03-08,1.3996,1.4015,1.3981,1.3996
2010-03-09,1.3996,1.402,1.3983,1.3996
2010-03-10,1.3993,1.3999,1.3972,1.3986
2010-03-11,1.3986,1.3991,1.3974,1.3979
2010-03-12,1.3979,1.3982,1.3928,1.394
2010-03-15,1.3941,1.3983,1.3938,1.3972
2010-03-16,1.3972,1.3981,1.3944,1.3951
2010-03-17,1.395,1.3951,1.3914,1.3927
2010-03-18,1.3926,1.3961,1.3923,1.3954
2010-03-19,1.3954,1.3988,1.3943,1.3986
2010-03-22,1.3981,1.4049,1.3973,1.4016
2010-03-23,1.4016,1.4026,1.3993,1.4007
2010-03-24,1.4007,1.4063,1.4003,1.4062
2010-03-25,1.4063,1.408,1.4043,1.4079
2010-03-26,1.4078,1.408,1.4013,1.4037
