date,open,high,low,close
2010-01-01,,,,
2010-01-04,33.33,33.335,33.185,33.21
2010-01-05,33.18,33.185,33.115,33.158
2010-01-06,33.155,33.195,33.135,33.15
2010-01-07,33.15,33.18,33.11,33.14
2010-01-08,33.155,33.178,33.125,33.15
2010-01-11,33.075,33.15,33.015,33.045
2010-01-12,33.06,33.085,33.033,33.035
2010-01-13,33.035,33.07,33.028,33.035
2010-01-14,33.035,33.035,32.818,32.865
2010-01-15,32.87,32.885,32.845,32.875
2010-01-18,32.875,32.895,32.845,32.86
2010-01-19,32.83,32.925,32.785,32.875
2010-01-20,32.915,32.975,32.9,32.975
2010-01-21,32.96,33.02,32.928,33.0
2010-01-22,33.0,33.055,32.975,33.043
2010-01-25,33.045,33.052,32.945,32.975
2010-01-26,32.975,33.068,32.925,33.045
2010-01-27,33.05,33.075,33.015,33.035
2010-01-28,33.035,33.125,33.035,33.125
2010-01-29,33.125,33.185,33.125,33.155
2010-02-01,33.155,33.249,33.15,33.15
2010-02-02,33.14,33.175,33.125,33.14
2010-02-03,33.085,33.108,33.01,33.085
2010-02-04,33.1,33.155,33.08,33.14
2010-02-05,33.195,33.225,33.175,33.205
2010-02-08,33.205,33.22,33.17,33.205
2010-02-09,33.205,33.205,33.155,33.165
2010-02-10,33.14,33.185,33.135,33.175
2010-02-11,33.175,33.185,33.15,33.185
2010-02-12,33.185,33.205,33.16,33.19
2010-02-15,33.19,33.205,33.173,33.185
2010-02-16,33.19,33.2,33.155,33.175
2010-02-17,33.15,33.185,33.125,33.185
2010-02-18,33.195,33.215,33.165,33.165
2010-02-19,33.245,33.25,33.165,33.195
2010-02-22,33.15,33.16,33.125,33.145
2010-02-23,33.12,33.155,33.065,33.085
2010-02-24,33.075,33.1,33.025,33.025
2010-02-25,33.035,33.135,33.035,33.085
2010-02-26,33.075,33.125,33.02,33.065
2010-03-01,32.905,32.935,32.82,32.825
2010-03-02,32.835,32.85,32.715,32.725
2010-03-03,32.655,32.728,32.65,32.665
2010-03-04,32.66,32.675,32.635,32.635
2010-03-05,32.655,32.67,32.625,32.655
2010-03-08,32.62,32.725,32.598,32.71
2010-03-09,32.74,32.75,32.705,32.725
2010-03-10,32.715,32.717,32.635,32.655
2010-03-11,32.635,32.705,32.63,32.705
2010-03-12,32.69,32.705,32.535,32.565
2010-03-15,32.56,32.605,32.555,32.575
2010-03-16,32.555,32.555,32.42,32.445
2010-03-17,32.375,32.395,32.315,32.315
2010-03-18,32.335,32.335,32.26,32.305
2010-03-19,32.315,32.345,32.29,32.29
2010-03-22,32.305,32.36,32.3,32.335
2010-03-23,32.325,32.355,32.32,32.335
2010-03-24,32.345,32.375,32.33,32.375
2010-03-25,32.38,32.415,32.375,32.385
2010-03-26,32.4,32.46,32.4,32.415
2010-03-29,32.36,32.385,32.335,32.365
2010-03-30,32.35,32.355,32.305,32.345
2010-03-31,32.365,32.389,32.335,32.355
2010-04-01,32.335,32.375,32.325,32.355
2010-04-02,32.34,32.371,32.335,32.365
2010-04-05,32.355,32.408,32.345,32.395
2010-04-06,32.395,32.395,32.355,32.37
2010-04-07,32.345,32.405,32.325,32.395
2010-04-08,32.36,32.395,32.25,32.29
2010-04-09,32.31,32.313,32.205,32.215
2010-04-12,32.23,32.39,32.225,32.365
2010-04-13,32.345,32.39,32.325,32.365
2010-04-14,32.26,32.285,32.235,32.265
2010-04-15,32.24,32.285,32.22,32.23
2010-04-16,32.235,32.295,32.215,32.285
2010-04-19,32.305,32.355,32.225,32.24
2010-04-20,32.265,32.265,32.145,32.165
2010-04-21,32.15,32.205,32.082,32.195
2010-04-22,32.158,32.305,32.155,32.305
2010-04-23,32.345,32.355,32.195,32.225
2010-04-26,32.155,32.245,32.155,32.225
2010-04-27,32.255,32.305,32.217,32.255
2010-04-28,32.31,32.35,32.265,32.322
2010-04-29,32.37,32.375,32.265,32.265
2010-04-30,32.28,32.38,32.275,32.345
2010-05-03,32.36,32.415,32.33,32.35
2010-05-04,32.325,32.325,32.25,32.325
2010-05-05,32.34,32.385,32.31,32.385
2010-05-06,32.365,32.385,32.22,32.235
2010-05-07,32.33,32.385,32.265,32.285
2010-05-10,32.235,32.32,32.235,32.275
2010-05-11,32.32,32.355,32.28,32.325
2010-05-12,32.325,32.34,32.28,32.28
2010-05-13,32.295,32.365,32.265,32.36
2010-05-14,32.345,32.42,32.34,32.38
2010-05-17,32.375,32.42,32.375,32.39
2010-05-18,32.373,32.373,32.32,32.322
2010-05-19,32.321,32.385,32.321,32.37
2010-05-20,32.395,32.415,32.37,32.39
2010-05-21,32.445,32.445,32.4,32.425
2010-05-24,32.41,32.445,32.359,32.425
2010-05-25,32.525,32.575,32.525,32.525
2010-05-26,32.545,32.575,32.523,32.537
2010-05-27,32.568,32.589,32.535,32.55
2010-05-28,32.55,32.557,32.55,32.557
2010-05-31,32.54,32.545,32.521,32.54
2010-06-01,32.543,32.6,32.533,32.595
2010-06-02,32.57,32.605,32.557,32.605
2010-06-03,32.585,32.605,32.56,32.568
2010-06-04,32.585,32.643,32.574,32.643
2010-06-07,32.67,32.685,32.645,32.65
2010-06-08,32.64,32.65,32.617,32.635
2010-06-09,32.64,32.646,32.595,32.6
2010-06-10,32.595,32.615,32.5,32.6
2010-06-11,32.5,32.6,32.428,32.465
2010-06-14,32.54,32.54,32.4,32.4
2010-06-15,32.54,32.54,32.4,32.425
2010-06-16,32.42,32.45,32.377,32.41
2010-06-17,32.44,32.482,32.398,32.41
2010-06-18,32.4,32.434,32.315,32.405
2010-06-21,32.3,32.405,32.243,32.273
