date,open,high,low,close
2010-01-01,,,,
2010-01-04,1.4969,1.4994,1.4718,1.4744
2010-01-05,1.475,1.4787,1.4668,1.4735
2010-01-06,1.4737,1.4812,1.4715,1.4729
2010-01-07,1.473,1.4825,1.4705,1.4727
2010-01-08,1.4728,1.4741,1.4569,1.4588
2010-01-11,1.4571,1.4607,1.4488,1.4515
2010-01-12,1.4522,1.4612,1.4505,1.454
2010-01-13,1.456,1.4581,1.445,1.453
2010-01-14,1.45,1.4645,1.4482,1.455
2010-01-15,1.4592,1.465,1.4522,1.4555
2010-01-18,1.4602,1.4604,1.4495,1.4518
2010-01-19,1.4517,1.4628,1.4499,1.4565
2010-01-20,1.4569,1.4773,1.4569,1.473
2010-01-21,1.4718,1.4893,1.47,1.4866
2010-01-22,1.4869,1.5009,1.4785,1.4927
2010-01-25,1.4906,1.4917,1.4824,1.4865
2010-01-26,1.4856,1.5035,1.4852,1.4896
2010-01-27,1.4904,1.5027,1.4884,1.5012
2010-01-28,1.5016,1.5025,1.4885,1.4995
2010-01-29,1.4984,1.5006,1.4863,1.497
2010-02-01,1.4955,1.4968,1.4805,1.483
2010-02-02,1.4844,1.4908,1.4821,1.4881
2010-02-03,1.4875,1.4952,1.4793,1.4952
2010-02-04,1.4925,1.527,1.492,1.521
2010-02-05,1.5257,1.5374,1.5139,1.5282
2010-02-08,1.5283,1.5294,1.5167,1.5218
2010-02-09,1.5212,1.5218,1.504,1.5077
2010-02-10,1.508,1.5196,1.5057,1.5165
2010-02-11,1.5161,1.5202,1.509,1.5116
2010-02-12,1.5123,1.5244,1.51,1.518
2010-02-15,1.5164,1.5185,1.5138,1.5165
2010-02-16,1.5165,1.5166,1.5052,1.5062
2010-02-17,1.5062,1.5133,1.504,1.5117
2010-02-18,1.5114,1.526,1.5114,1.5256
2010-02-19,1.5259,1.5285,1.5111,1.514
2010-02-22,1.5135,1.5309,1.5104,1.5304
2010-02-23,1.53,1.5522,1.5242,1.5522
2010-02-24,1.551,1.5575,1.5414,1.5482
2010-02-25,1.5473,1.5641,1.5431,1.5482
2010-02-26,1.5468,1.5515,1.5367,1.5515
2010-03-01,1.5494,1.5505,1.5356,1.5362
2010-03-02,1.5362,1.5431,1.5322,1.5343
2010-03-03,1.5338,1.5435,1.5332,1.5374
2010-03-04,1.537,1.5536,1.5368,1.5518
2010-03-05,1.5518,1.5525,1.537,1.538
2010-03-08,1.5382,1.5383,1.5271,1.5319
2010-03-09,1.5321,1.5432,1.531,1.5345
2010-03-10,1.5342,1.5427,1.5318,1.533
2010-03-11,1.5325,1.5376,1.5317,1.5324
2010-03-12,1.5326,1.534,1.5242,1.5276
2010-03-15,1.5267,1.5316,1.5245,1.5276
2010-03-16,1.5276,1.5295,1.5208,1.5208
2010-03-17,1.5214,1.5217,1.5115,1.5124
2010-03-18,1.513,1.5323,1.5128,1.5276
2010-03-19,1.5285,1.538,1.5255,1.5359
2010-03-22,1.536,1.5519,1.5355,1.5386
2010-03-23,1.5385,1.5473,1.535,1.5387
2010-03-24,1.5395,1.5528,1.5378,1.5495
2010-03-25,1.5499,1.5508,1.5344,1.5457
2010-03-26,1.5442,1.5442,1.5328,1.5385
2010-03-29,1.5365,1.5369,1.5282,1.53
2010-03-30,1.5288,1.5317,1.5261,1.5306
2010-03-31,1.5305,1.5317,1.5173,1.5173
2010-04-01,1.5173,1.5212,1.5154,1.5164
2010-04-02,1.5161,1.5198,1.5142,1.5144
2010-04-05,1.5141,1.517,1.5076,1.5086
2010-04-06,1.5086,1.5144,1.5031,1.5047
2010-04-07,1.505,1.5065,1.4936,1.499
2010-04-08,1.5,1.5072,1.4961,1.4979
2010-04-09,1.4985,1.4998,1.487,1.4895
2010-04-12,1.4822,1.4902,1.4802,1.4877
2010-04-13,1.4878,1.4941,1.4843,1.4864
2010-04-14,1.4855,1.4857,1.4721,1.4751
2010-04-15,1.4749,1.4816,1.4705,1.4716
2010-04-16,1.471,1.4872,1.471,1.483
2010-04-19,1.4851,1.5005,1.4851,1.491
2010-04-20,1.491,1.4946,1.4851,1.487
2010-04-21,1.4868,1.4882,1.4806,1.4832
2010-04-22,1.4828,1.4919,1.4775,1.488
2010-04-23,1.4889,1.4927,1.4816,1.4822
2010-04-26,1.482,1.4835,1.4725,1.4736
2010-04-27,1.4745,1.5062,1.4742,1.5058
2010-04-28,1.5056,1.5169,1.4954,1.4972
2010-04-29,1.4977,1.4984,1.4814,1.4838
2010-04-30,1.4835,1.4897,1.4794,1.4887
2010-05-03,1.487,1.4977,1.4865,1.4917
2010-05-04,1.4917,1.5234,1.4897,1.5226
2010-05-05,1.522,1.5388,1.5125,1.5374
2010-05-06,1.5336,1.6293,1.5311,1.5936
2010-05-07,1.5908,1.5944,1.5571,1.562
2010-05-10,1.5503,1.554,1.5138,1.5308
2010-05-11,1.5303,1.5398,1.5251,1.5344
2010-05-12,1.535,1.5455,1.521,1.5262
2010-05-13,1.5254,1.5262,1.515,1.5228
2010-05-14,1.524,1.5469,1.5199,1.5448
2010-05-17,1.5443,1.5591,1.5391,1.5432
2010-05-18,1.5436,1.5664,1.5343,1.5639
2010-05-19,1.5648,1.5981,1.5572,1.576
2010-05-20,1.5758,1.6053,1.5684,1.5992
2010-05-21,1.5982,1.5989,1.5719,1.5767
2010-05-24,1.5725,1.5785,1.5629,1.5766
2010-05-25,1.5775,1.6013,1.576,1.576
2010-05-26,1.5802,1.5897,1.5728,1.5882
2010-05-27,1.5884,1.5886,1.5565,1.5591
2010-05-28,1.56,1.5692,1.5534,1.5673
2010-05-31,1.568,1.5772,1.5605,1.5769
2010-06-01,1.5777,1.5936,1.5738,1.582
2010-06-02,1.5819,1.5873,1.5759,1.5784
2010-06-03,1.5785,1.593,1.5684,1.5858
2010-06-04,1.5854,1.6123,1.5769,1.609
2010-06-07,1.608,1.618,1.5977,1.6135
