date,open,high,low,close
2010-01-01,7.389,7.389,7.38,7.38
2010-01-04,7.3988,7.458,7.2803,7.285
2010-01-05,7.285,7.342,7.2507,7.3198
2010-01-06,7.3198,7.3725,7.2913,7.3259
2010-01-07,7.3259,7.4458,7.2896,7.4327
2010-01-08,7.4327,7.4572,7.3118,7.3537
2010-01-11,7.3537,7.3806,7.2916,7.3767
2010-01-12,7.3767,7.5126,7.3697,7.4418
2010-01-13,7.4418,7.4535,7.3682,7.3949
2010-01-14,7.395,7.4626,7.367,7.3867
2010-01-15,7.3859,7.44,7.3739,7.398
2010-01-18,7.4067,7.434,7.3765,7.3912
2010-01-19,7.3902,7.4438,7.3735,7.401
2010-01-20,7.402,7.5698,7.3974,7.5327
2010-01-21,7.5338,7.6051,7.4853,7.6008
2010-01-22,7.5978,7.6643,7.5345,7.6348
2010-01-25,7.6307,7.6358,7.5538,7.5696
2010-01-26,7.5712,7.6683,7.5476,7.5813
2010-01-27,7.5813,7.6501,7.5473,7.5953
2010-01-28,7.5953,7.6376,7.5397,7.5975
2010-01-29,7.5975,7.645,7.5373,7.6238
2010-02-01,7.6275,7.6275,7.486,7.4943
2010-02-02,7.4943,7.522,7.4479,7.4751
2010-02-03,7.4749,7.5207,7.4221,7.5105
2010-02-04,7.5105,7.6949,7.51,7.6924
2010-02-05,7.6925,7.8585,7.6536,7.7745
2010-02-08,7.795,7.795,7.7078,7.7451
2010-02-09,7.7455,7.7541,7.6446,7.679
2010-02-10,7.679,7.7643,7.6533,7.7426
2010-02-11,7.7466,7.7466,7.6159,7.6327
2010-02-12,7.6327,7.7432,7.6327,7.6938
2010-02-15,7.6949,7.744,7.6922,7.7322
2010-02-16,7.7303,7.7427,7.6528,7.6556
2010-02-17,7.6551,7.683,7.5723,7.6177
2010-02-18,7.6175,7.6684,7.5681,7.6352
2010-02-19,7.6338,7.7334,7.6283,7.6603
2010-02-22,7.6688,7.7481,7.6278,7.7203
2010-02-23,7.72,7.8114,7.6584,7.8005
2010-02-24,7.8001,7.8092,7.7307,7.734
2010-02-25,7.7338,7.8901,7.7338,7.7597
2010-02-26,7.76,7.7904,7.6409,7.7196
2010-03-01,7.7083,7.7131,7.6022,7.6444
2010-03-02,7.6444,7.6615,7.565,7.6013
2010-03-03,7.6011,7.6065,7.4846,7.5009
2010-03-04,7.4909,7.5336,7.4464,7.4736
2010-03-05,7.4734,7.5046,7.3868,7.4156
2010-03-08,7.4227,7.458,7.365,7.3865
2010-03-09,7.3865,7.4633,7.3754,7.3858
2010-03-10,7.3865,7.4392,7.3808,7.4151
2010-03-11,7.4149,7.4706,7.4073,7.4128
2010-03-12,7.4128,7.4369,7.3744,7.4001
2010-03-15,7.4001,7.4357,7.3845,7.404
2010-03-16,7.3955,7.4255,7.3534,7.3579
2010-03-17,7.3579,7.3707,7.2741,7.298
2010-03-18,7.298,7.3384,7.2794,7.31
2010-03-19,7.3108,7.3718,7.295,7.335
2010-03-22,7.3421,7.4055,7.3154,7.3197
2010-03-23,7.3197,7.3631,7.3155,7.3261
2010-03-24,7.3261,7.397,7.3199,7.3922
2010-03-25,7.3933,7.4963,7.3668,7.4788
2010-03-26,7.4789,7.489,7.4212,7.4335
2010-03-29,7.405,7.4282,7.375,7.4061
2010-03-30,7.4058,7.4121,7.3576,7.3686
2010-03-31,7.3704,7.3876,7.2634,7.2851
2010-04-01,7.2851,7.3057,7.2253,7.2299
2010-04-02,7.2299,7.2839,7.2299,7.2447
2010-04-05,7.2413,7.2725,7.2264,7.2305
2010-04-06,7.2303,7.2884,7.2158,7.2418
2010-04-07,7.2427,7.2876,7.1972,7.2781
2010-04-08,7.2781,7.358,7.2625,7.2715
2010-04-09,7.2702,7.2936,7.2035,7.2527
2010-04-12,7.2327,7.293,7.2055,7.2769
2010-04-13,7.2744,7.3178,7.2615,7.3023
2010-04-14,7.3023,7.3605,7.2609,7.303
2010-04-15,7.303,7.4022,7.303,7.308
2010-04-16,7.308,7.4201,7.3051,7.3896
2010-04-19,7.4013,7.49,7.4013,7.4427
2010-04-20,7.4429,7.4646,7.3707,7.384
2010-04-21,7.3841,7.4382,7.3535,7.4028
2010-04-22,7.4028,7.5174,7.3943,7.4576
