date,Federal Funds Rate,GDP,CPI,Non-Farm Employment,Unemployment Rate
1939-01-01,,,,29923,
1939-02-01,,,,30100,
1939-03-01,,,,30280,
1939-04-01,,,,30094,
1939-05-01,,,,30299,
1939-06-01,,,,30502,
1939-07-01,,,,30419,
1939-08-01,,,,30663,
1939-09-01,,,,31031,
1939-10-01,,,,31411,
1939-11-01,,,,31470,
1939-12-01,,,,31542,
1940-01-01,,,,31603,
1940-02-01,,,,31715,
1940-03-01,,,,31825,
1940-04-01,,,,31701,
1940-05-01,,,,31879,
1940-06-01,,,,31977,
1940-07-01,,,,31942,
1940-08-01,,,,32352,
1940-09-01,,,,32810,
1940-10-01,,,,33267,
1940-11-01,,,,33669,
1940-12-01,,,,34174,
1941-01-01,,,,34481,
1941-02-01,,,,34843,
1941-03-01,,,,35092,
1941-04-01,,,,35468,
1941-05-01,,,,36182,
1941-06-01,,,,36650,
1941-07-01,,,,37137,
1941-08-01,,,,37544,
1941-09-01,,,,37835,
1941-10-01,,,,37949,
1941-11-01,,,,38024,
1941-12-01,,,,38104,
1942-01-01,,,,38347,
1942-02-01,,,,38512,
1942-03-01,,,,38935,
1942-04-01,,,,39352,
1942-05-01,,,,39771,
1942-06-01,,,,40029,
1942-07-01,,,,40472,
1942-08-01,,,,40988,
1942-09-01,,,,41259,
1942-10-01,,,,41515,
1942-11-01,,,,41674,
1942-12-01,,,,41915,
1943-01-01,,,,42172,
1943-02-01,,,,42393,
1943-03-01,,,,42552,
1943-04-01,,,,42647,
1943-05-01,,,,42596,
1943-06-01,,,,42781,
1943-07-01,,,,42700,
1943-08-01,,,,42546,
1943-09-01,,,,42492,
1943-10-01,,,,42675,
1943-11-01,,,,42821,
1943-12-01,,,,42746,
1944-01-01,,,,42654,
1944-02-01,,,,42538,
1944-03-01,,,,42294,
1944-04-01,,,,42063,
1944-05-01,,,,41985,
1944-06-01,,,,41947,
1944-07-01,,,,41904,
1944-08-01,,,,41850,
1944-09-01,,,,41679,
1944-10-01,,,,41708,
1944-11-01,,,,41711,
1944-12-01,,,,41860,
1945-01-01,,,,41895,
1945-02-01,,,,41897,
1945-03-01,,,,41798,
1945-04-01,,,,41446,
1945-05-01,,,,41304,
1945-06-01,,,,41149,
1945-07-01,,,,40874,
1945-08-01,,,,40466,
1945-09-01,,,,38507,
1945-10-01,,,,38600,
1945-11-01,,,,38996,
1945-12-01,,,,39110,
1946-01-01,,.,,39829,
1946-02-01,,,,39244,
1946-03-01,,,,40195,
1946-04-01,,.,,40913,
1946-05-01,,,,41349,
1946-06-01,,,,41735,
1946-07-01,,.,,42153,
1946-08-01,,,,42642,
1946-09-01,,,,42915,
1946-10-01,,.,,43093,
1946-11-01,,,,43395,
1946-12-01,,,,43379,
1947-01-01,,243.164,21.48,43535,
1947-02-01,,,21.62,43557,
1947-03-01,,,22.0,43607,
1947-04-01,,245.968,22.0,43499,
1947-05-01,,,21.95,43638,
1947-06-01,,,22.08,43810,
1947-07-01,,249.585,22.23,43743,
1947-08-01,,,22.4,43960,
1947-09-01,,,22.84,44203,
1947-10-01,,259.745,22.91,44411,
1947-11-01,,,23.06,44484,
1947-12-01,,,23.41,44581,
1948-01-01,,265.742,23.68,44679,3.4
1948-02-01,,,23.67,44533,3.8
1948-03-01,,,23.5,44683,4.0
1948-04-01,,272.567,23.82,44379,3.9
1948-05-01,,,24.01,44796,3.5
1948-06-01,,,24.15,45034,3.6
1948-07-01,,279.196,24.4,45160,3.6
1948-08-01,,,24.43,45178,3.9
1948-09-01,,,24.36,45294,3.8
1948-10-01,,280.366,24.31,45245,3.7
1948-11-01,,,24.16,45192,3.8
1948-12-01,,,24.05,45032,4.0
1949-01-01,,275.034,24.01,44668,4.3
1949-02-01,,,23.91,44497,4.7
1949-03-01,,,23.91,44240,5.0
1949-04-01,,271.351,23.92,44236,5.3
1949-05-01,,,23.91,43984,6.1
1949-06-01,,,23.92,43739,6.2
1949-07-01,,272.889,23.7,43531,6.7
1949-08-01,,,23.7,43624,6.8
1949-09-01,,,23.75,43780,6.6
1949-10-01,,270.627,23.67,42942,7.9
1949-11-01,,,23.7,43242,6.4
1949-12-01,,,23.61,43522,6.6
1950-01-01,,280.828,23.51,43526,6.5
1950-02-01,,,23.61,43297,6.4
1950-03-01,,,23.64,43954,6.3
1950-04-01,,290.383,23.65,44382,5.8
1950-05-01,,,23.77,44718,5.5
1950-06-01,,,23.88,45083,5.4
1950-07-01,,308.153,24.07,45454,5.0
1950-08-01,,,24.2,46192,4.5
1950-09-01,,,24.34,46438,4.4
1950-10-01,,319.945,24.5,46706,4.2
1950-11-01,,,24.6,46776,4.2
1950-12-01,,,24.98,46861,4.3
1951-01-01,,336.0,25.38,47288,3.7
1951-02-01,,,25.83,47577,3.4
1951-03-01,,,25.88,47873,3.4
1951-04-01,,344.09,25.92,47861,3.1
1951-05-01,,,25.99,47952,3.0
1951-06-01,,,25.93,48064,3.2
1951-07-01,,351.385,25.91,48061,3.1
1951-08-01,,,25.86,48012,3.1
1951-09-01,,,26.03,47954,3.3
1951-10-01,,356.178,26.16,48006,3.5
1951-11-01,,,26.32,48147,3.5
1951-12-01,,,26.47,48314,3.1
1952-01-01,,359.82,26.45,48296,3.2
1952-02-01,,,26.41,48522,3.1
1952-03-01,,,26.39,48504,2.9
1952-04-01,,361.03,26.46,48620,2.9
1952-05-01,,,26.47,48642,3.0
1952-06-01,,,26.53,48282,3.0
1952-07-01,,367.701,26.68,48143,3.2
1952-08-01,,,26.69,48924,3.4
1952-09-01,,,26.63,49320,3.1
1952-10-01,,380.812,26.69,49597,3.0
1952-11-01,,,26.69,49816,2.8
1952-12-01,,,26.71,50166,2.7
1953-01-01,,387.98,26.64,50144,2.9
1953-02-01,,,26.59,50339,2.6
1953-03-01,,,26.63,50473,2.6
1953-04-01,,391.749,26.69,50435,2.7
1953-05-01,,,26.7,50490,2.5
1953-06-01,,,26.77,50519,2.5
1953-07-01,,391.171,26.79,50536,2.6
1953-08-01,,,26.85,50489,2.7
1953-09-01,,,26.89,50368,2.9
1953-10-01,,385.97,26.95,50240,3.1
1953-11-01,,,26.85,49908,3.5
1953-12-01,,,26.87,49703,4.5
1954-01-01,,385.345,26.94,49469,4.9
1954-02-01,,,26.99,49382,5.2
1954-03-01,,,26.93,49157,5.7
1954-04-01,,386.121,26.86,49179,5.9
1954-05-01,,,26.93,48965,5.9
1954-06-01,,,26.94,48895,5.6
1954-07-01,0.8,390.996,26.86,48835,5.8
1954-08-01,1.22,,26.85,48826,6.0
1954-09-01,1.07,,26.81,48886,6.1
1954-10-01,0.85,399.734,26.72,48942,5.7
1954-11-01,0.83,,26.78,49180,5.3
1954-12-01,1.28,,26.77,49331,5.0
1955-01-01,1.39,413.073,26.77,49496,4.9
1955-02-01,1.29,,26.82,49644,4.7
1955-03-01,1.35,,26.79,49962,4.6
1955-04-01,1.43,421.532,26.79,50248,4.7
1955-05-01,1.43,,26.77,50512,4.3
1955-06-01,1.64,,26.71,50790,4.2
1955-07-01,1.68,430.221,26.76,50987,4.0
1955-08-01,1.96,,26.72,51111,4.2
1955-09-01,2.18,,26.85,51266,4.1
1955-10-01,2.24,437.092,26.82,51429,4.3
1955-11-01,2.35,,26.88,51592,4.2
1955-12-01,2.48,,26.87,51805,4.2
1956-01-01,2.45,439.746,26.83,51975,4.0
1956-02-01,2.5,,26.86,52167,3.9
1956-03-01,2.5,,26.89,52294,4.2
1956-04-01,2.62,446.01,26.93,52375,4.0
1956-05-01,2.75,,27.03,52506,4.3
1956-06-01,2.71,,27.15,52586,4.3
1956-07-01,2.75,451.191,27.29,51955,4.4
1956-08-01,2.73,,27.31,52631,4.1
1956-09-01,2.95,,27.35,52604,3.9
1956-10-01,2.96,460.463,27.51,52777,3.9
1956-11-01,2.88,,27.51,52821,4.3
1956-12-01,2.94,,27.63,52929,4.2
1957-01-01,2.84,469.779,27.67,52887,4.2
1957-02-01,3.0,,27.8,53097,3.9
1957-03-01,2.96,,27.86,53156,3.7
1957-04-01,3.0,472.025,27.93,53238,3.9
1957-05-01,3.0,,28.0,53150,4.1
1957-06-01,3.0,,28.11,53067,4.3
1957-07-01,2.99,479.49,28.19,53123,4.2
1957-08-01,3.24,,28.28,53128,4.1
1957-09-01,3.47,,28.32,52934,4.4
1957-10-01,3.5,474.864,28.32,52763,4.5
1957-11-01,3.28,,28.41,52558,5.1
1957-12-01,2.98,,28.47,52384,5.2
1958-01-01,2.72,467.54,28.64,52076,5.8
1958-02-01,1.67,,28.7,51576,6.4
1958-03-01,1.2,,28.87,51299,6.7
1958-04-01,1.26,471.978,28.94,51027,7.4
1958-05-01,0.63,,28.94,50914,7.4
1958-06-01,0.93,,28.91,50914,7.3
1958-07-01,0.68,485.841,28.89,51039,7.5
1958-08-01,1.53,,28.94,51233,7.4
1958-09-01,1.76,,28.91,51506,7.1
1958-10-01,1.8,499.555,28.91,51485,6.7
1958-11-01,2.27,,28.95,51944,6.2
1958-12-01,2.42,,28.97,52085,6.2
1959-01-01,2.48,510.33,29.01,52478,6.0
1959-02-01,2.43,,29.0,52688,5.9
1959-03-01,2.8,,28.97,53014,5.6
1959-04-01,2.96,522.653,28.98,53321,5.2
1959-05-01,2.9,,29.04,53550,5.1
1959-06-01,3.39,,29.11,53681,5.0
1959-07-01,3.47,525.034,29.15,53804,5.1
1959-08-01,3.5,,29.18,53336,5.2
1959-09-01,3.76,,29.25,53428,5.5
1959-10-01,3.98,528.6,29.35,53358,5.7
1959-11-01,4.0,,29.35,53634,5.8
1959-12-01,3.99,,29.41,54174,5.3
1960-01-01,3.99,542.648,29.37,54274,5.2
1960-02-01,3.97,,29.41,54513,4.8
1960-03-01,3.84,,29.41,54454,5.4
1960-04-01,3.92,541.08,29.54,54813,5.2
1960-05-01,3.85,,29.57,54475,5.1
1960-06-01,3.32,,29.61,54348,5.4
1960-07-01,3.23,545.604,29.55,54306,5.5
1960-08-01,2.98,,29.61,54272,5.6
1960-09-01,2.6,,29.61,54227,5.5
1960-10-01,2.47,540.197,29.75,54142,6.1
1960-11-01,2.44,,29.78,53961,6.1
1960-12-01,1.98,,29.81,53742,6.6
1961-01-01,1.45,545.018,29.84,53683,6.6
1961-02-01,2.54,,29.84,53557,6.9
1961-03-01,2.02,,29.84,53659,6.9
1961-04-01,1.49,555.545,29.81,53627,7.0
1961-05-01,1.98,,29.84,53786,7.1
1961-06-01,1.73,,29.84,53977,6.9
1961-07-01,1.17,567.664,29.92,54123,7.0
1961-08-01,2.0,,29.94,54298,6.6
1961-09-01,1.88,,29.98,54388,6.7
1961-10-01,2.26,580.612,29.98,54522,6.5
1961-11-01,2.61,,29.98,54742,6.1
1961-12-01,2.33,,30.01,54872,6.0
1962-01-01,2.15,594.013,30.04,54891,5.8
1962-02-01,2.37,,30.11,55188,5.5
1962-03-01,2.85,,30.17,55275,5.6
1962-04-01,2.78,600.366,30.21,55602,5.6
1962-05-01,2.36,,30.24,55628,5.5
1962-06-01,2.68,,30.21,55644,5.5
