Federal Funds Rate,GDP,CPI,Non-Farm Employment,Unemployment Rate,date
0.8,243.164,21.48,29923,3.4,1939-01-01
0.8,243.164,21.48,30100,3.4,1939-02-01
0.8,243.164,21.48,30280,3.4,1939-03-01
0.8,243.164,21.48,30094,3.4,1939-04-01
0.8,243.164,21.48,30299,3.4,1939-05-01
0.8,243.164,21.48,30502,3.4,1939-06-01
0.8,243.164,21.48,30419,3.4,1939-07-01
0.8,243.164,21.48,30663,3.4,1939-08-01
0.8,243.164,21.48,31031,3.4,1939-09-01
0.8,243.164,21.48,31411,3.4,1939-10-01
0.8,243.164,21.48,31470,3.4,1939-11-01
0.8,243.164,21.48,31542,3.4,1939-12-01
0.8,243.164,21.48,31603,3.4,1940-01-01
0.8,243.164,21.48,31715,3.4,1940-02-01
0.8,243.164,21.48,31825,3.4,1940-03-01
0.8,243.164,21.48,31701,3.4,1940-04-01
0.8,243.164,21.48,31879,3.4,1940-05-01
0.8,243.164,21.48,31977,3.4,1940-06-01
0.8,243.164,21.48,31942,3.4,1940-07-01
0.8,243.164,21.48,32352,3.4,1940-08-01
0.8,243.164,21.48,32810,3.4,1940-09-01
0.8,243.164,21.48,33267,3.4,1940-10-01
0.8,243.164,21.48,33669,3.4,1940-11-01
0.8,243.164,21.48,34174,3.4,1940-12-01
0.8,243.164,21.48,34481,3.4,1941-01-01
0.8,243.164,21.48,34843,3.4,1941-02-01
0.8,243.164,21.48,35092,3.4,1941-03-01
0.8,243.164,21.48,35468,3.4,1941-04-01
0.8,243.164,21.48,36182,3.4,1941-05-01
0.8,243.164,21.48,36650,3.4,1941-06-01
0.8,243.164,21.48,37137,3.4,1941-07-01
0.8,243.164,21.48,37544,3.4,1941-08-01
0.8,243.164,21.48,37835,3.4,1941-09-01
0.8,243.164,21.48,37949,3.4,1941-10-01
0.8,243.164,21.48,38024,3.4,1941-11-01
0.8,243.164,21.48,38104,3.4,1941-12-01
0.8,243.164,21.48,38347,3.4,1942-01-01
0.8,243.164,21.48,38512,3.4,1942-02-01
0.8,243.164,21.48,38935,3.4,1942-03-01
0.8,243.164,21.48,39352,3.4,1942-04-01
0.8,243.164,21.48,39771,3.4,1942-05-01
0.8,243.164,21.48,40029,3.4,1942-06-01
0.8,243.164,21.48,40472,3.4,1942-07-01
0.8,243.164,21.48,40988,3.4,1942-08-01
0.8,243.164,21.48,41259,3.4,1942-09-01
0.8,243.164,21.48,41515,3.4,1942-10-01
0.8,243.164,21.48,41674,3.4,1942-11-01
0.8,243.164,21.48,41915,3.4,1942-12-01
0.8,243.164,21.48,42172,3.4,1943-01-01
0.8,243.164,21.48,42393,3.4,1943-02-01
0.8,243.164,21.48,42552,3.4,1943-03-01
0.8,243.164,21.48,42647,3.4,1943-04-01
0.8,243.164,21.48,42596,3.4,1943-05-01
0.8,243.164,21.48,42781,3.4,1943-06-01
0.8,243.164,21.48,42700,3.4,1943-07-01
0.8,243.164,21.48,42546,3.4,1943-08-01
0.8,243.164,21.48,42492,3.4,1943-09-01
0.8,243.164,21.48,42675,3.4,1943-10-01
0.8,243.164,21.48,42821,3.4,1943-11-01
0.8,243.164,21.48,42746,3.4,1943-12-01
0.8,243.164,21.48,42654,3.4,1944-01-01
0.8,243.164,21.48,42538,3.4,1944-02-01
0.8,243.164,21.48,42294,3.4,1944-03-01
0.8,243.164,21.48,42063,3.4,1944-04-01
0.8,243.164,21.48,41985,3.4,1944-05-01
0.8,243.164,21.48,41947,3.4,1944-06-01
0.8,243.164,21.48,41904,3.4,1944-07-01
0.8,243.164,21.48,41850,3.4,1944-08-01
0.8,243.164,21.48,41679,3.4,1944-09-01
0.8,243.164,21.48,41708,3.4,1944-10-01
0.8,243.164,21.48,41711,3.4,1944-11-01
0.8,243.164,21.48,41860,3.4,1944-12-01
0.8,243.164,21.48,41895,3.4,1945-01-01
0.8,243.164,21.48,41897,3.4,1945-02-01
0.8,243.164,21.48,41798,3.4,1945-03-01
0.8,243.164,21.48,41446,3.4,1945-04-01
0.8,243.164,21.48,41304,3.4,1945-05-01
0.8,243.164,21.48,41149,3.4,1945-06-01
0.8,243.164,21.48,40874,3.4,1945-07-01
0.8,243.164,21.48,40466,3.4,1945-08-01
0.8,243.164,21.48,38507,3.4,1945-09-01
0.8,243.164,21.48,38600,3.4,1945-10-01
0.8,243.164,21.48,38996,3.4,1945-11-01
0.8,243.164,21.48,39110,3.4,1945-12-01
0.8,243.164,21.48,39829,3.4,1946-01-01
0.8,243.164,21.48,39244,3.4,1946-02-01
0.8,243.164,21.48,40195,3.4,1946-03-01
0.8,243.164,21.48,40913,3.4,1946-04-01
0.8,243.164,21.48,41349,3.4,1946-05-01
0.8,243.164,21.48,41735,3.4,1946-06-01
0.8,243.164,21.48,42153,3.4,1946-07-01
0.8,243.164,21.48,42642,3.4,1946-08-01
0.8,243.164,21.48,42915,3.4,1946-09-01
0.8,243.164,21.48,43093,3.4,1946-10-01
0.8,243.164,21.48,43395,3.4,1946-11-01
0.8,243.164,21.48,43379,3.4,1946-12-01
0.8,243.164,21.48,43535,3.4,1947-01-01
0.8,244.09866666666665,21.62,43557,3.4,1947-02-01
0.8,245.03333333333333,22.0,43607,3.4,1947-03-01
0.8,245.968,22.0,43499,3.4,1947-04-01
0.8,247.17366666666666,21.95,43638,3.4,1947-05-01
0.8,248.37933333333334,22.08,43810,3.4,1947-06-01
0.8,249.585,22.23,43743,3.4,1947-07-01
0.8,252.97166666666666,22.4,43960,3.4,1947-08-01
0.8,256.35833333333335,22.84,44203,3.4,1947-09-01
0.8,259.745,22.91,44411,3.4,1947-10-01
0.8,261.744,23.06,44484,3.4,1947-11-01
0.8,263.743,23.41,44581,3.4,1947-12-01
0.8,265.742,23.68,44679,3.4,1948-01-01
0.8,268.017,23.67,44533,3.8,1948-02-01
0.8,270.29200000000003,23.5,44683,4.0,1948-03-01
0.8,272.567,23.82,44379,3.9,1948-04-01
0.8,274.7766666666667,24.01,44796,3.5,1948-05-01
0.8,276.98633333333333,24.15,45034,3.6,1948-06-01
0.8,279.196,24.4,45160,3.6,1948-07-01
0.8,279.586,24.43,45178,3.9,1948-08-01
0.8,279.976,24.36,45294,3.8,1948-09-01
0.8,280.366,24.31,45245,3.7,1948-10-01
0.8,278.58866666666665,24.16,45192,3.8,1948-11-01
0.8,276.8113333333333,24.05,45032,4.0,1948-12-01
0.8,275.034,24.01,44668,4.3,1949-01-01
0.8,273.8063333333333,23.91,44497,4.7,1949-02-01
0.8,272.57866666666666,23.91,44240,5.0,1949-03-01
0.8,271.351,23.92,44236,5.3,1949-04-01
0.8,271.8636666666667,23.91,43984,6.1,1949-05-01
0.8,272.3763333333333,23.92,43739,6.2,1949-06-01
0.8,272.889,23.7,43531,6.7,1949-07-01
0.8,272.135,23.7,43624,6.8,1949-08-01
0.8,271.38100000000003,23.75,43780,6.6,1949-09-01
0.8,270.627,23.67,42942,7.9,1949-10-01
0.8,274.02733333333333,23.7,43242,6.4,1949-11-01
0.8,277.42766666666665,23.61,43522,6.6,1949-12-01
0.8,280.828,23.51,43526,6.5,1950-01-01
0.8,284.013,23.61,43297,6.4,1950-02-01
0.8,287.198,23.64,43954,6.3,1950-03-01
0.8,290.383,23.65,44382,5.8,1950-04-01
0.8,296.3063333333333,23.77,44718,5.5,1950-05-01
0.8,302.2296666666667,23.88,45083,5.4,1950-06-01
0.8,308.153,24.07,45454,5.0,1950-07-01
0.8,312.08366666666666,24.2,46192,4.5,1950-08-01
0.8,316.01433333333335,24.34,46438,4.4,1950-09-01
0.8,319.945,24.5,46706,4.2,1950-10-01
0.8,325.2966666666667,24.6,46776,4.2,1950-11-01
0.8,330.6483333333333,24.98,46861,4.3,1950-12-01
0.8,336.0,25.38,47288,3.7,1951-01-01
0.8,338.69666666666666,25.83,47577,3.4,1951-02-01
0.8,341.3933333333333,25.88,47873,3.4,1951-03-01
0.8,344.09,25.92,47861,3.1,1951-04-01
0.8,346.52166666666665,25.99,47952,3.0,1951-05-01
0.8,348.9533333333333,25.93,48064,3.2,1951-06-01
0.8,351.385,25.91,48061,3.1,1951-07-01
0.8,352.98266666666666,25.86,48012,3.1,1951-08-01
0.8,354.58033333333333,26.03,47954,3.3,1951-09-01
0.8,356.178,26.16,48006,3.5,1951-10-01
0.8,357.392,26.32,48147,3.5,1951-11-01
0.8,358.606,26.47,48314,3.1,1951-12-01
0.8,359.82,26.45,48296,3.2,1952-01-01
0.8,360.2233333333333,26.41,48522,3.1,1952-02-01
0.8,360.62666666666667,26.39,48504,2.9,1952-03-01
0.8,361.03,26.46,48620,2.9,1952-04-01
0.8,363.2536666666667,26.47,48642,3.0,1952-05-01
0.8,365.4773333333333,26.53,48282,3.0,1952-06-01
0.8,367.701,26.68,48143,3.2,1952-07-01
0.8,372.07133333333337,26.69,48924,3.4,1952-08-01
0.8,376.44166666666666,26.63,49320,3.1,1952-09-01
0.8,380.812,26.69,49597,3.0,1952-10-01
0.8,383.20133333333337,26.69,49816,2.8,1952-11-01
0.8,385.59066666666666,26.71,50166,2.7,1952-12-01
0.8,387.98,26.64,50144,2.9,1953-01-01
0.8,389.23633333333333,26.59,50339,2.6,1953-02-01
0.8,390.4926666666667,26.63,50473,2.6,1953-03-01
0.8,391.749,26.69,50435,2.7,1953-04-01
0.8,391.5563333333333,26.7,50490,2.5,1953-05-01
0.8,391.3636666666667,26.77,50519,2.5,1953-06-01
0.8,391.171,26.79,50536,2.6,1953-07-01
0.8,389.43733333333336,26.85,50489,2.7,1953-08-01
0.8,387.70366666666666,26.89,50368,2.9,1953-09-01
0.8,385.97,26.95,50240,3.1,1953-10-01
0.8,385.7616666666667,26.85,49908,3.5,1953-11-01
0.8,385.55333333333334,26.87,49703,4.5,1953-12-01
0.8,385.345,26.94,49469,4.9,1954-01-01
0.8,385.6036666666667,26.99,49382,5.2,1954-02-01
